Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5
SC0,23/11/02,Kilmarnock,Hearts,0,1,A,0,0,D,K Toner,7,8,3,2,16,17,7,5,1,1,0,0,2.375,3.2,2.625,2.37,3.25,2.62,2.2,3,2.9,2.5,3.25,2.4,2.38,3.2,2.63,2.4,3.2,2.6,2.25,3.2,2.75,1.75,1.85
SC0,23/11/02,Partick,Aberdeen,2,1,H,1,0,H,J Rowbotham,17,10,10,7,19,10,4,5,1,1,0,0,2.5,3.2,2.5,2.52,3.2,2.47,2.5,3,2.5,2.6,3.2,2.38,2.5,3.2,2.5,2.5,3.2,2.5,2.25,3.2,2.75,1.9,1.7
SC0,23/11/02,Rangers,Dunfermline,3,0,H,0,0,D,J Underhill,19,2,9,1,9,14,8,3,1,1,0,1,1.167,5.5,13,1.17,5.55,12.55,1.15,6,12,1.17,5.5,12,1.14,6,13,1.143,6,13,1.16,6,10,1.4,2.5
SC0,24/11/02,Livingston,Celtic,0,2,A,0,1,A,S Dougal,14,7,0,1,16,27,6,4,1,3,0,0,9,5,1.25,9,5,1.28,9,4.5,1.25,8,5,1.25,10,5,1.22,10,5,1.222,8,5,1.25,1.45,2.35
SC0,30/11/02,Dundee United,Aberdeen,1,1,D,1,1,D,W Young,12,6,8,4,14,23,7,1,1,2,0,0,2.3,3.2,2.7,2.25,3.2,2.8,2.3,3,2.7,2.4,3.25,2.5,2.38,3.2,2.63,2.375,3.2,2.625,2.2,3.2,2.8,1.75,1.85
SC0,30/11/02,Dunfermline,Hibernian,1,1,D,0,0,D,I Fyfe,5,5,2,1,18,22,1,3,0,2,0,0,2.1,3.25,3,2.1,3.25,3.05,2,3.1,3.2,2,3.4,3,2.1,3.25,3,2.1,3.25,3,2,3.2,3.2,1.75,1.85
SC0,30/11/02,Livingston,Dundee,1,1,D,1,0,H,T Brown,16,13,11,6,20,10,7,6,2,1,0,0,2.2,3.25,2.8,2.1,3.25,3.05,2.1,3,3.1,2.1,3.2,3,2.1,3.25,3,2.1,3.25,3,2.2,3.2,2.8,1.85,1.75
SC0,30/11/02,Partick,Kilmarnock,3,0,H,0,0,D,M McCurry,13,10,7,7,8,11,4,6,1,1,0,0,2.4,3.2,2.6,2.4,3.25,2.55,2.5,3,2.5,2.4,3.25,2.5,2.38,3.2,2.63,2.4,3.2,2.6,2.37,3.3,2.5,1.85,1.75
SC0,01/12/02,Celtic,Motherwell,3,1,H,0,0,D,J Rowbotham,22,7,9,6,9,12,13,4,1,2,0,1,1.083,7.5,17,1.08,7,17,1.1,7,15,1.1,6.5,17,1.1,7,17,1.1,7,17,1.08,7,17,1.37,2.6
SC0,01/12/02,Hearts,Rangers,0,4,A,0,0,D,H Dallas,5,20,2,13,22,9,0,7,3,1,1,0,7.5,4,1.364,8,4,1.35,6,3.9,1.4,7,4.33,1.33,7.5,4,1.36,7.5,4,1.364,8,3.75,1.36,1.55,2.15
SC0,03/12/02,Aberdeen,Kilmarnock,0,1,A,0,0,D,I Fyfe,6,3,0,1,12,18,5,3,0,3,0,0,2.1,3.25,3,2.03,3.32,3.32,2,3.1,3.2,1.91,3.25,3.4,2,3.25,3.25,2,3.25,3.25,2.1,3.2,3,1.75,1.95
SC0,04/12/02,Dundee,Partick,4,1,H,1,0,H,H Dallas,14,7,10,4,12,10,4,7,2,2,0,0,1.727,3.5,4,1.85,3.35,3.65,1.9,3.1,3.5,1.83,3.4,3.6,1.83,3.4,3.6,1.833,3.4,3.6,1.83,3.4,3.5,1.75,1.85
SC0,04/12/02,Dunfermline,Dundee United,4,1,H,3,0,H,K Toner,8,10,6,6,13,12,2,6,0,1,0,0,1.667,3.5,4.333,1.7,3.4,4.3,1.75,3.2,4,1.73,3.5,3.75,1.7,3.4,4.33,1.7,3.4,4.333,1.61,3.5,4.5,1.7,1.9
SC0,04/12/02,Hibernian,Celtic,0,1,A,0,0,D,M McCurry,7,10,3,6,22,13,2,4,2,2,0,0,8.5,5,1.25,9,5,1.25,8,4.2,1.3,8,5,1.25,8.5,5,1.25,9,5,1.25,8,4.5,1.28,1.55,2.15
SC0,04/12/02,Motherwell,Hearts,6,1,H,4,0,H,S Dougal,15,17,10,6,16,20,4,9,1,1,0,0,3.25,3.25,2,3,3.25,2.12,3.1,3,2.1,3,3.4,2,3,3.25,2.1,3,3.25,2.1,3,3.2,2.1,1.65,1.95
SC0,04/12/02,Rangers,Livingston,4,3,H,3,0,H,D McDonald,18,6,17,5,10,12,13,2,0,1,0,1,1.125,7,12,1.13,7,16,1.1,7,15,1.14,6,12,1.13,6.5,13,1.125,6.5,13,1.14,6,12,1.55,2.15
SC0,07/12/02,Aberdeen,Motherwell,1,1,D,1,0,H,C Thomson,7,5,4,1,22,24,2,8,4,3,1,0,1.727,3.5,4,1.66,3.45,4.75,1.75,3.2,4,1.62,3.5,4.5,1.73,3.4,4.2,1.727,3.4,4.2,1.66,3.3,4.5,1.7,1.9
SC0,07/12/02,Dundee United,Hibernian,1,1,D,1,1,D,D McDonald,3,13,2,7,15,15,10,13,3,2,0,0,2.5,3.2,2.5,2.6,3.25,2.4,2.6,3.1,2.3,2.6,3.2,2.38,2.63,3.2,2.38,2.625,3.2,2.375,2.6,3.1,2.4,1.7,1.9
SC0,07/12/02,Hearts,Livingston,2,1,H,1,0,H,J Underhill,10,13,5,3,10,20,3,4,0,3,0,0,1.727,3.5,4,1.8,3.35,3.95,1.9,3.1,3.5,1.83,3.2,3.75,1.83,3.25,3.75,1.85,3.25,3.75,1.9,3.2,3.5,1.7,1.9
SC0,07/12/02,Kilmarnock,Dundee,2,0,H,0,0,D,C Richmond,9,6,6,0,19,15,6,2,4,0,0,0,2.25,3.25,2.75,2.2,3.25,2.9,2.1,3,3.1,2.25,3.2,2.75,2.2,3.25,2.8,2.2,3.25,2.8,2.1,3.2,3,1.7,1.9
SC0,07/12/02,Partick,Dunfermline,4,0,H,2,0,H,W Young,18,17,12,9,10,5,1,9,0,1,0,0,2.7,3.2,2.3,2.5,3.25,2.5,,,,2.38,3.2,2.6,2.6,3.2,2.4,2.6,3.2,2.4,2.5,3.1,2.5,1.65,1.95
SC0,07/12/02,Rangers,Celtic,3,2,H,3,1,H,K Clark,10,12,8,7,18,17,6,6,2,3,0,0,2.5,3,2.625,2.36,3.3,2.65,2.2,3,2.9,2.38,3,2.75,2.38,3.2,2.63,2.4,3.1,2.75,2.3,3.2,2.62,1.7,1.9
SC0,14/12/02,Dundee,Motherwell,1,1,D,1,1,D,M McCurry,14,12,9,7,13,17,9,5,1,2,0,0,1.727,3.5,4,1.8,3.4,3.8,1.8,3.1,3.8,1.67,3.4,4.33,1.8,3.4,3.75,1.8,3.4,3.75,1.8,3.4,3.6,1.65,1.95
SC0,14/12/02,Hearts,Partick,1,0,H,0,0,D,G Mitchell,19,8,13,4,13,10,10,2,4,4,0,0,1.667,3.5,4.333,1.75,3.3,4.2,1.75,3.2,4,1.73,3.4,4,1.73,3.25,4.33,1.727,3.4,4.2,1.72,3.4,4,1.65,1.95
SC0,14/12/02,Livingston,Hibernian,1,2,A,0,0,D,I Brines,12,5,6,4,15,18,8,3,0,1,0,0,2.5,3.2,2.5,2.5,3.3,2.45,2.4,3,2.6,2.5,3.2,2.5,2.5,3.2,2.5,2.5,3.2,2.5,2.6,3.1,2.4,1.85,1.75
SC0,14/12/02,Rangers,Dundee United,3,0,H,1,0,H,S Dougal,14,9,9,5,13,20,4,3,0,2,1,1,1.111,7,13,1.13,6.5,15.5,1.15,6,12,1.12,6.5,13,1.11,6.5,17,1.111,6.5,17,1.11,6.5,15,1.42,2.5
SC0,15/12/02,Dunfermline,Aberdeen,3,0,H,1,0,H,H Dallas,,,,,,,,,2,3,0,0,1.727,3.5,4,1.8,3.25,4,1.8,3.1,3.8,1.73,3.5,3.75,1.83,3.25,3.75,1.833,3.4,3.6,1.61,3.5,4.5,1.65,1.95
SC0,15/12/02,Kilmarnock,Celtic,1,1,D,1,0,H,W Young,5,14,1,6,13,7,4,12,1,1,0,0,10,5,1.222,10,4.75,1.25,8,4.2,1.3,10,5,1.22,8.5,5,1.25,9,5,1.25,10,4.5,1.25,1.5,2.25
SC0,21/12/02,Aberdeen,Livingston,0,0,D,0,0,D,K Clark,8,2,4,1,10,19,3,6,1,2,0,0,1.909,3.25,3.5,2,3.25,3.3,2,3.2,3.1,1.91,3.4,3.25,2,3.25,3.25,2,3.25,3.25,2,3.2,3.2,1.85,1.75
SC0,21/12/02,Celtic,Dundee,2,0,H,1,0,H,D McDonald,11,2,4,1,14,16,4,2,3,2,0,0,1.125,6.5,13,1.16,6.15,13.5,1.1,7,15,1.12,6,15,1.13,6.5,13,1.125,6.5,13,1.12,6.5,12,1.5,2.5
SC0,21/12/02,Dundee United,Hearts,0,3,A,0,2,A,C Richmond,14,18,5,10,12,12,7,5,3,2,0,0,2.7,3.2,2.3,2.75,3.2,2.3,2.6,3.1,2.3,2.75,3.25,2.2,2.63,3.2,2.38,2.6,3.2,2.4,2.5,3.3,2.37,1.8,1.8
SC0,21/12/02,Kilmarnock,Hibernian,2,1,H,0,0,D,H Dallas,8,10,3,5,10,17,6,4,2,1,0,0,2.3,3.2,2.7,2.2,3.2,2.9,2.2,3.2,2.7,2.1,3.4,2.8,2.2,3.25,2.8,2.2,3.25,2.8,2.2,3.2,2.8,1.9,1.7
SC0,22/12/02,Partick,Rangers,1,2,A,1,0,H,J Underhill,10,16,4,8,12,19,6,10,1,3,1,0,10,5,1.222,10,4.75,1.26,9,4.5,1.25,11,5,1.2,8.5,5,1.25,8.5,5,1.25,8,4.5,1.28,1.5,2.25
SC0,26/12/02,Celtic,Hearts,4,2,H,2,1,H,H Dallas,11,8,8,2,10,12,12,4,1,1,0,0,1.167,6,11,1.15,6.2,13,1.15,6,12,1.14,6,12,1.14,6.5,12,1.143,6.5,12,1.16,5.5,12,1.4,2.5
SC0,26/12/02,Dundee,Aberdeen,1,2,A,0,0,D,I Brines,5,5,3,2,18,20,4,4,4,4,2,0,1.8,3.25,4,1.85,3.35,3.75,2,3.1,3.2,1.83,3.4,3.5,1.91,3.25,3.5,1.909,3.25,3.5,1.9,3.25,3.4,1.65,1.95
SC0,26/12/02,Dunfermline,Kilmarnock,0,2,A,0,0,D,J Underhill,8,5,4,2,8,13,11,3,1,2,0,0,1.833,3.25,3.75,1.9,3.3,3.62,1.9,3.1,3.5,1.91,3.25,3.4,1.91,3.25,3.5,1.909,3.25,3.5,1.83,3.3,3.6,1.7,1.9
SC0,26/12/02,Hibernian,Partick,1,1,D,0,0,D,C Thomson,12,5,9,4,12,21,3,2,0,1,1,0,1.667,3.5,4.333,1.7,3.45,4.35,1.65,3.3,4.4,1.73,3.5,3.75,1.73,3.4,4,1.727,3.4,4.2,1.72,3.4,4,1.7,1.9
SC0,26/12/02,Livingston,Dundee United,3,0,H,1,0,H,M McCurry,18,10,11,6,10,16,5,2,1,3,0,0,2.1,3.25,3,2.1,3.25,3.1,1.9,3.1,3.5,2.1,3.5,2.75,2.1,3.25,3,2.1,3.25,3,2,3.2,3.2,1.8,1.8
SC0,26/12/02,Motherwell,Rangers,1,0,H,0,0,D,W Young,10,14,3,10,13,10,6,10,2,3,0,0,10,5.5,1.2,10.85,5.5,1.2,9,4.5,1.25,11,5,1.2,10,5.5,1.2,10,5.5,1.2,9.5,5,1.22,1.45,2.35
SC0,29/12/02,Celtic,Dunfermline,1,0,H,1,0,H,S Dougal,10,5,8,2,4,15,9,2,0,3,0,0,1.143,6.5,12,1.2,6.66,12,1.15,6,12,1.12,6,15,1.14,6,13,1.143,6,13,1.16,5.5,12,1.46,2.6
SC0,29/12/02,Dundee,Hearts,1,2,A,0,1,A,K Clark,5,12,1,10,18,19,2,5,1,3,0,0,2.5,3.2,2.5,2.52,3.4,2.37,2.5,3,2.5,2.4,3.25,2.5,2.5,3.2,2.5,2.5,3.2,2.5,2.5,3.3,2.37,1.7,1.9
SC0,29/12/02,Hibernian,Aberdeen,2,0,H,0,0,D,J Rowbotham,17,8,9,4,15,7,7,0,0,1,0,0,1.727,3.5,4,1.8,3.4,4.1,1.85,3.1,3.6,1.83,3.4,3.5,1.73,3.4,4,1.75,3.4,4,1.72,3.25,4.2,1.7,1.9
SC0,29/12/02,Kilmarnock,Rangers,0,1,A,0,1,A,D McDonald,7,13,3,5,9,11,3,11,2,1,0,0,9,4.5,1.286,8.5,4.5,1.35,6,3.9,1.4,8,4.5,1.29,9,5,1.25,9,5,1.25,8,4.33,1.3,1.51,2.25
SC0,29/12/02,Livingston,Motherwell,1,0,H,0,0,D,C Thomson,14,3,10,2,23,16,7,4,2,4,0,0,2.1,3.25,3,2.2,3.3,2.85,2,3.1,3.2,2.1,3.5,2.75,2.1,3.25,3,2.1,3.25,3,2.25,3.3,2.62,1.75,1.85
SC0,29/12/02,Partick,Dundee United,0,0,D,0,0,D,A Freeland,11,11,3,4,14,20,4,7,3,3,0,0,1.909,3.25,3.5,1.87,3.35,3.8,1.8,3.1,3.8,1.83,3.4,3.5,1.8,3.4,3.75,1.8,3.4,3.75,1.9,3.4,3.25,1.7,1.9
SC0,02/01/03,Aberdeen,Celtic,1,1,D,0,1,A,M McCurry,7,8,3,4,13,15,10,7,1,0,0,0,10,5,1.222,11,5.15,1.23,8,4.2,1.3,8,5,1.25,8.5,5,1.25,9,5,1.25,8,5,1.25,1.5,2.25
SC0,02/01/03,Dundee United,Kilmarnock,2,2,D,1,1,D,H Dallas,18,4,9,4,11,18,12,2,0,3,0,0,2.75,3.25,2.25,2.9,3.25,2.21,3,3.1,2.1,3.2,3.5,1.91,2.88,3.2,2.2,2.875,3.2,2.2,2.75,3.25,2.2,1.85,1.75
SC0,02/01/03,Dunfermline,Livingston,2,0,H,1,0,H,G Mitchell,7,9,4,4,12,8,0,7,0,0,0,0,1.667,3.4,4.333,1.8,3.35,4.01,1.8,3.1,3.8,1.73,3.5,3.75,1.83,3.25,3.75,1.833,3.25,3.75,1.66,3.3,4.5,1.75,1.85
SC0,02/01/03,Hearts,Hibernian,4,4,D,1,2,A,S Dougal,14,12,11,5,14,27,4,4,4,4,0,0,2.25,3,3,2.15,3.25,2.98,2.1,3.1,3,2.1,3.2,3,2.1,3.25,3,2.1,3.25,3,2.2,3.25,2.75,1.7,1.9
SC0,02/01/03,Motherwell,Partick,2,2,D,1,1,D,I Fyfe,16,11,8,5,22,19,3,0,6,4,1,0,2.1,3.25,3,2.1,3.3,3.05,1.9,3.1,3.5,1.83,3.5,3.4,2.1,3.25,3,2.1,3.25,3,2.1,3.2,3,1.85,1.75
SC0,02/01/03,Rangers,Dundee,3,1,H,2,1,H,T Brown,22,8,12,2,10,11,4,3,0,0,0,0,1.143,6.5,12,1.14,6.5,14.75,1.15,6,12,1.11,6.5,15,1.14,6,13,1.143,6,13,1.14,6,12,1.5,2.35
SC0,28/01/03,Aberdeen,Hearts,0,1,A,0,0,D,H Dallas,5,5,2,1,9,13,7,4,0,1,0,0,2.5,3.2,2.5,2.5,3.1,2.6,2.5,3,2.5,2.25,3.4,2.62,2.38,3.2,2.63,2.375,3.2,2.625,2.5,3.1,2.5,1.8,1.8
SC0,28/01/03,Dunfermline,Dundee,0,1,A,0,1,A,W Young,15,2,4,2,13,9,7,0,1,1,0,0,1.8,3.25,4,1.7,3.4,4.5,1.75,3.2,4,1.8,3.4,3.6,1.73,3.25,4.33,1.727,3.25,4.333,1.66,3.3,4.5,1.65,1.95
SC0,28/01/03,Partick,Livingston,1,3,A,1,1,D,I Fyfe,9,11,6,7,10,14,8,7,0,1,0,0,2.1,3.25,3,2.2,3.2,2.95,2.2,3,2.9,2.1,3.2,3,2.2,3.2,2.88,2.2,3.2,2.875,2.25,3.2,2.75,1.7,1.9
SC0,29/01/03,Celtic,Dundee United,2,0,H,2,0,H,J Underhill,13,1,7,0,5,17,5,3,0,2,0,0,1.1,7,15,1.1,7,19,1.1,7,15,1.1,6.5,17,1.11,6.5,17,1.111,6.5,17,1.1,6.5,17,1.35,2.7
SC0,29/01/03,Hibernian,Rangers,0,2,A,0,0,D,K Clark,4,9,2,2,21,13,6,9,4,2,1,0,7.5,4.333,1.333,7.5,4.3,1.35,5.4,3.8,1.45,8,4.5,1.29,7.5,4.33,1.33,7.5,4.333,1.333,7.5,4.2,1.33,1.5,2.25
SC0,29/01/03,Kilmarnock,Motherwell,1,0,H,0,0,D,J Rowbotham,8,8,5,2,10,10,6,3,0,1,0,1,1.667,3.4,4.5,1.8,3.4,3.9,1.8,3.1,3.8,1.73,3.5,3.75,1.73,3.4,4,1.75,3.4,4,1.83,3.3,3.6,1.75,1.85
SC0,01/02/03,Dundee United,Motherwell,2,1,H,1,1,D,D Somers,13,9,8,2,20,21,7,6,3,3,1,0,2.25,3.25,2.75,2.28,3.25,2.75,2.2,3,2.9,2.25,3.4,2.62,2.3,3.2,2.7,2.3,3.2,2.7,2.3,3.2,2.62,1.8,1.8
SC0,01/02/03,Hearts,Dunfermline,3,0,H,1,0,H,D McDonald,20,8,10,5,12,14,14,2,1,2,0,1,1.83,3.25,3.75,1.92,3.3,3.48,1.85,3.1,3.6,1.91,3.4,3.25,1.91,3.25,3.5,1.91,3.25,3.5,2,3.2,3.2,1.7,1.9
SC0,01/02/03,Livingston,Kilmarnock,0,4,A,0,2,A,T Brown,12,8,6,7,14,14,7,1,0,1,0,0,2.37,3.2,2.62,2.4,3.3,2.55,2.3,3,2.7,2.4,3.25,2.5,2.38,3.2,2.62,2.38,3.2,2.62,2.4,3.1,2.6,1.85,1.75
SC0,01/02/03,Rangers,Aberdeen,2,1,H,1,0,H,W Young,15,14,5,5,8,9,12,1,0,0,0,0,1.11,7,13,1.12,6.5,15.5,1.15,6,12,1.14,6,12,1.14,6,13,1.14,6,13,1.14,6,12,1.4,2.5
SC0,02/02/03,Partick,Celtic,0,2,A,0,2,A,K Clark,6,14,4,7,16,15,1,3,1,1,0,0,10,5,1.22,11,5,1.22,9,4.5,1.25,11,5,1.2,10,5,1.22,10,5,1.22,8,5,1.25,1.5,2.25
SC0,08/02/03,Aberdeen,Partick,0,1,A,0,1,A,S Dougal,6,5,2,4,8,11,7,3,2,2,1,0,2,3.25,3.25,1.9,3.3,3.55,2,3.1,3.2,2,3.4,3,2,3.25,3.25,2,3.25,3.25,2,3,3.4,1.7,1.9
SC0,08/02/03,Dunfermline,Rangers,1,3,A,0,1,A,H Dallas,7,7,4,4,16,10,3,11,2,1,0,0,9,4.5,1.286,7.65,4.75,1.3,6,3.9,1.4,11,5,1.2,8.5,5,1.25,9,5,1.25,8,4.5,1.28,1.5,2.25
SC0,08/02/03,Hearts,Kilmarnock,3,0,H,0,0,D,C Thomson,14,4,8,1,15,22,8,2,1,4,0,1,1.8,3.4,3.75,1.8,3.5,3.75,1.9,3.1,3.5,2,3.4,3,1.83,3.25,3.75,1.85,3.25,3.75,1.83,3.3,3.6,1.7,1.9
SC0,08/02/03,Motherwell,Hibernian,2,1,H,2,0,H,C Richmond,6,7,4,3,19,24,1,5,3,6,0,0,2.625,3.2,2.375,2.6,3.15,2.45,2.5,3,2.5,2.38,3.5,2.38,2.62,3.2,2.38,2.6,3.2,2.4,2.62,3.2,2.3,1.85,1.75
SC0,09/02/03,Celtic,Livingston,2,1,H,0,0,D,Michael McCurry,11,5,9,5,14,18,9,2,2,3,0,0,1.1,7,15,1.11,6.5,15,1.15,6,12,1.1,6.5,17,1.11,6.5,17,1.111,6.5,17,1.11,6.5,15,1.4,2.5
SC0,09/02/03,Dundee United,Dundee,1,1,D,1,1,D,John Rowbotham,11,11,5,9,19,13,5,3,3,0,1,0,2.5,3.2,2.5,2.5,3.2,2.5,2.5,3,2.5,2.4,3.25,2.5,2.5,3.2,2.5,2.5,3.2,2.5,2.5,3.1,2.5,1.8,1.8,,
SC0,15/02/03,Hibernian,Dunfermline,1,3,A,0,2,A,M McCurry,15,10,8,6,22,11,7,1,1,1,0,1,2,3.25,3.25,2.2,3.25,3.1,2,3.1,3.2,2,3.4,3,2,3.25,3.25,2,3.25,3.25,2,3.2,3.2,1.65,1.95,,
SC0,15/02/03,Rangers,Hearts,1,0,H,1,0,H,J Underhill,14,6,2,3,5,16,6,7,0,6,0,0,1.167,6,11,1.25,5.75,9,1.25,4.5,9,1.14,5.5,15,1.14,6,13,1.143,6,13,1.14,6,12,1.5,2.25,,
SC0,16/02/03,Aberdeen,Dundee United,3,0,H,1,0,H,K Clark,9,3,2,0,9,17,4,5,0,0,0,0,2.1,3.25,3,2.1,3.25,3.3,2,3.1,3.2,2,3.4,3,2.1,3.25,3,2.1,3.25,3,2,3.2,3.2,1.65,1.95,,
SC0,19/02/03,Motherwell,Dunfermline,2,1,H,1,0,H,D Somers,13,16,7,5,18,16,6,8,1,1,0,0,2.625,3.2,2.375,2.6,3.25,2.45,2.3,3,2.7,2.4,3.25,2.5,2.5,3.2,2.5,2.5,3.2,2.5,2.62,3.1,2.37,1.7,1.9,,
SC0,23/02/03,Kilmarnock,Partick,1,0,H,1,0,H,I Brines,6,5,1,0,17,15,5,16,1,2,0,0,1.727,3.4,4,1.75,3.35,4.15,1.75,3.2,4,1.73,3.4,4,1.73,3.4,4,1.727,3.4,4,1.72,3.4,4,1.75,1.85,,
SC0,25/02/03,Dundee,Hibernian,3,0,H,1,0,H,Alan Freeland,8,1,2,0,10,17,12,4,1,3,0,0,2.25,3.25,2.75,2.25,3.25,2.75,2.25,3.3,2.62,,,,,,,,,,,,,,,,
SC0,01/03/03,Dundee United,Dunfermline,3,0,H,1,0,H,Tom Brown,14,11,7,4,13,12,4,9,0,1,0,0,2.625,3.2,2.375,2.62,3.25,2.37,2.5,3,2.5,2.5,3.25,2.4,2.63,3.2,2.38,2.625,3.2,2.375,2.5,3.25,2.4,1.7,1.9,,
SC0,01/03/03,Hearts,Motherwell,2,1,H,1,0,H,Michael McCurry,16,8,4,4,16,17,5,5,1,3,0,0,1.533,3.5,5.5,1.61,3.45,5,1.65,3.3,4.4,1.67,3.6,4,1.62,3.4,5,1.615,3.4,5,1.61,3.5,4.5,1.65,1.95,,
SC0,01/03/03,Kilmarnock,Aberdeen,2,0,H,0,0,D,J Underhill,7,8,5,4,10,17,1,3,1,1,0,1,1.727,3.5,4,1.81,3.25,4,1.75,3.2,4,1.67,3.6,4,1.73,3.4,4,1.75,3.4,4,1.72,3.4,4,1.75,1.85,,
SC0,01/03/03,Partick,Dundee,1,3,A,1,2,A,K Clark,12,13,8,10,12,13,2,11,1,2,0,0,2.4,3.2,2.6,2.25,3.25,2.8,2.3,3,2.7,2.25,3.2,2.75,2.25,3.25,2.75,2.25,3.25,2.75,2.25,3.2,2.75,1.8,1.8,,
SC0,02/03/03,Celtic,Hibernian,3,2,H,2,1,H,W Young,13,6,9,4,12,18,6,5,0,1,0,0,1.125,7,12,1.15,6.66,11,1.15,6,12,1.14,5.5,15,1.13,6.5,13,1.125,6.5,13,1.14,6,12,1.65,1.95,,
SC0,02/03/03,Livingston,Rangers,1,2,A,0,2,A,J Rowbotham,9,7,3,4,10,14,8,7,0,3,0,0,10,5,1.222,10,5.5,1.21,9,4.5,1.25,11,5,1.2,10,5,1.22,10,5,1.222,9.5,5,1.22,1.55,2.15,,
SC0,05/03/03,Dundee,Livingston,0,0,D,0,0,D,W Young,8,7,4,5,8,19,6,5,0,2,0,0,1.8,3.25,4,1.75,3.4,4.2,1.9,3.1,3.5,1.67,3.6,4,1.73,3.25,4.33,1.73,3.25,4.33,1.72,3.5,3.8,1.75,1.85,,
SC0,08/03/03,Celtic,Rangers,1,0,H,0,0,D,M McCurry,11,4,6,3,16,20,13,2,1,2,0,0,2.25,3.2,2.8,2.4,3.2,2.7,2.4,3,2.6,2.25,3.2,2.75,2.25,3.25,2.75,2.3,3.2,2.75,2.3,3.1,2.75,1.7,2,,
SC0,08/03/03,Dundee,Kilmarnock,2,2,D,2,0,H,H Dallas,19,11,11,6,9,15,4,3,0,0,0,0,2.2,3.25,2.8,2.28,3.3,2.75,2.4,3,2.6,2,3.6,2.88,2.2,3.25,2.8,2.2,3.25,2.8,2.2,3.25,2.75,1.8,1.9,,
SC0,08/03/03,Livingston,Hearts,1,1,D,0,1,A,A Freeland,7,7,2,3,11,16,6,3,2,2,0,0,2.625,3.2,2.375,2.75,3.25,2.32,2.6,3,2.4,2.5,3.25,2.4,2.75,3.25,2.25,2.75,3.2,2.3,2.75,3.2,2.25,1.8,1.9,,
SC0,08/03/03,Motherwell,Aberdeen,0,1,A,0,1,A,D McDonald,10,5,7,3,22,24,5,6,2,3,1,0,2.2,3.25,2.8,2.18,3.3,2.92,2.2,3,2.9,2.1,3.4,2.8,2.2,3.25,2.8,2.2,3.25,2.8,2.1,3.3,2.87,1.85,1.85,,
SC0,09/03/03,Dunfermline,Partick,0,0,D,0,0,D,C Richmond,8,1,4,0,12,15,5,4,1,2,0,0,1.727,3.5,4,1.75,3.4,4.2,1.8,3.1,3.8,1.8,3.25,3.75,1.73,3.25,4.33,1.727,3.25,4.333,1.72,3.4,4,1.8,1.9,,
SC0,09/03/03,Hibernian,Dundee United,1,1,D,1,0,H,D Somers,6,2,1,0,14,15,5,6,1,1,0,0,1.8,3.4,3.75,1.8,3.45,3.85,1.85,3.1,3.6,1.8,3.4,3.6,1.8,3.25,4,1.8,3.25,4,1.8,3.4,3.6,1.7,2,,
SC0,15/03/03,Aberdeen,Dundee,3,3,D,0,2,A,I Fyfe,10,8,8,3,9,11,7,4,1,0,0,0,2.3,3.2,2.7,2.4,3.3,2.6,2.2,3,2.9,2.25,3.2,2.75,2.25,3.25,2.75,2.25,3.25,2.75,2.3,3.3,2.6,1.9,1.7,,
SC0,15/03/03,Dundee United,Livingston,0,1,A,0,0,D,C Thomson,6,10,3,3,13,18,4,6,0,3,0,0,2.2,3.25,2.8,2.15,3.3,3,2.2,3,2.9,2,3.4,3,2.2,3.2,2.88,2.2,3.2,2.88,2.1,3.2,3,1.8,1.8,,
SC0,15/03/03,Partick,Hibernian,0,1,A,0,1,A,G Mitchell,10,3,3,3,9,17,9,3,1,1,0,0,2.37,3.2,2.62,2.4,3.3,2.6,2.3,3,2.7,2.25,3.2,2.75,2.38,3.2,2.62,2.38,3.2,2.62,2.37,3.3,2.5,1.8,1.8,,
SC0,16/03/03,Kilmarnock,Dunfermline,1,1,D,0,0,D,D McDonald,10,10,7,7,13,8,2,3,0,2,0,0,1.83,3.25,3.75,1.91,3.3,3.6,1.8,3.1,3.8,1.8,3.25,3.75,1.91,3.25,3.5,1.91,3.25,3.5,1.9,3.4,3.25,1.75,1.85,,
SC0,19/03/03,Rangers,Motherwell,2,0,H,1,0,H,H Dallas,16,6,6,2,14,16,8,1,2,3,0,0,1.1,7,15,1.1,7.25,17,1.1,7,15,1.11,6,17,1.11,7,13,1.11,7,13,1.1,6.5,17,,,,
SC0,05/04/03,Dunfermline,Motherwell,3,0,H,1,0,H,D Somers,10,6,4,2,15,15,8,3,1,2,0,1,1.727,3.5,4,1.7,3.4,4.45,1.7,3.2,4.2,1.727,3.4,4,1.67,3.4,4.5,1.667,3.4,4.5,1.61,3.5,4.5,1.7,1.9,,
SC0,05/04/03,Hearts,Dundee United,2,1,H,0,1,A,I Brines,15,3,11,1,21,17,10,2,1,1,0,0,1.571,3.6,5,1.62,3.45,5,1.6,3.4,4.6,1.667,3.4,4.333,1.62,3.4,5,1.615,3.4,5,1.57,3.5,5,1.7,1.9,,
