Div,Date,HT,AT,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,,,,,,,,,,,
G1,09/01/05,Kerkyra,Ergotelis,0,1,A,0,1,A,1.8,3.2,4,1.75,3.2,4.55,1.85,3.2,3.75,1.75,3.1,4.2,1.8,3.2,4,1.85,3.25,3.6,,,,1.95,1.71,1.85,1.73,-0.5,,,,,,,,,,,
G1,09/01/05,OFI,Ionikos,2,0,H,2,0,H,1.8,3.2,4,1.7,3.2,5,1.75,3.25,4.2,1.75,3.2,4,1.73,3.2,4.33,1.8,3.1,4,,,,1.75,1.9,1.75,1.83,-0.5,,,,,,,,,,,
G1,09/01/05,PAOK,Kalamaria,5,2,H,4,1,H,1.33,4.33,7,1.3,4.55,9,1.3,4.25,9,1.3,4.2,8,1.29,4.5,8,1.3,4.33,8,,,,1.65,2,1.3,2.89,-0.5,,,,,,,,,,,
G1,15/01/05,Egaleo,PAOK,2,1,H,0,1,A,2.25,3,2.87,2.3,3,3,2.35,3,2.8,2.3,3,2.7,2.25,3,2.88,2.38,3,2.8,2.5,2.9,2.6,2,1.65,2.35,1.45,-0.5,,,,,,,,,,,,,
G1,15/01/05,Kalamaria,AEK,2,1,H,2,0,H,6,3.75,1.44,7.35,4,1.4,7,3.85,1.4,6.5,3.7,1.4,7,3.75,1.4,7.5,3.75,1.4,,,,2,1.65,,,,,,,,,,,,,,,,
G1,16/01/05,Aris,Kalithea,2,2,D,1,1,D,1.9,3.2,3.5,1.85,2.95,4.5,1.9,3.1,3.75,1.9,3,3.6,1.83,3,4,1.91,3.2,3.6,,,,2,1.65,1.9,1.7,-0.5,,,,,,,,,,,,,
G1,16/01/05,Chalkidona,Kerkyra,0,0,D,0,0,D,1.57,3.5,5,1.45,3.75,7,1.5,3.6,5.75,1.45,3.6,5.8,1.5,3.4,6,1.53,3.5,5.5,,,,1.75,1.9,1.5,2.21,-0.5,,,,,,,,,,,,,
G1,16/01/05,Ergotelis,Panionios,0,3,A,0,2,A,2.37,3.1,2.62,2.75,2.9,2.55,2.55,2.9,2.6,2.55,2.9,2.55,2.5,3,2.62,2.5,3,2.6,,,,2,1.65,2.55,1.37,-0.5,,,,,,,,,,,,,
G1,16/01/05,Olympiakos,Iraklis,1,0,H,0,0,D,1.14,6,12,1.15,6,16,1.15,5.85,13,1.15,6,12,1.14,6,13,1.18,5.5,12,1.2,5,11,1.5,2.3,,,,,,,,,,,,,,,,
G1,16/01/05,Panathinaikos,OFI,5,1,H,2,0,H,1.14,6,12,1.12,7,15,1.13,6,15,1.12,6.5,13,1.14,6,13,1.18,5.5,12,1.15,6,11,1.65,2,,,,,,,,,,,,,,,,
G1,17/01/05,Xanthi,Ionikos,2,0,H,1,0,H,1.53,3.6,5,1.5,3.6,6.5,1.5,3.6,5.75,1.45,3.8,5.4,1.5,3.4,6,1.53,3.5,5.5,,,,1.71,1.95,2.15,1.42,-1.5,,,,,,,,,,,,,
G1,22/01/05,Aris,Xanthi,2,1,H,1,0,H,2.5,2.87,2.62,2.45,2.75,3.05,2.4,2.9,2.8,2.3,3,2.7,2.6,2.8,2.6,2.5,2.9,2.7,,,,2,1.65,2.4,1.42,-0.5,,,,,,,,,,,,,
G1,22/01/05,Panionios,Chalkidona,0,0,D,0,0,D,1.9,3,3.75,1.95,2.95,4,1.9,3.1,3.75,1.9,3,3.6,2,2.9,3.5,1.91,3.2,3.6,,,,2.1,1.6,1.9,1.7,-0.5,,,,,,,,,,,,,
G1,23/01/05,AEK,Egaleo,1,0,H,0,0,D,1.5,3.4,6,1.5,3.6,6.4,1.5,3.6,5.75,1.55,3.5,4.8,1.44,3.5,6.5,1.44,3.75,6.5,1.44,3.5,7,2,1.65,1.5,2.21,-0.5,,,,,,,,,,,,,
G1,23/01/05,Ionikos,Panathinaikos,0,0,D,0,0,D,8,4,1.33,9,4,1.35,7.5,4,1.36,7,4,1.35,8,3.7,1.36,7.5,4,1.36,,,,1.85,1.79,2.61,1.36,0.5,,,,,,,,,,,,,
G1,23/01/05,Iraklis,Ergotelis,2,0,H,1,0,H,1.61,3.5,4.5,1.65,3.4,5,1.67,3.3,4.6,1.65,3.3,4.4,1.61,3.4,4.7,1.62,3.4,5,,,,1.83,1.83,,,,,,,,,,,,,,,,
G1,23/01/05,Kalithea,Olympiakos,1,1,D,0,1,A,8,4,1.33,9,4,1.35,7,3.85,1.4,6,3.9,1.4,8,3.7,1.36,7.5,4,1.36,,,,1.65,2,1.52,1.95,1.5,,,,,,,,,,,,,
G1,23/01/05,Kerkyra,PAOK,0,1,A,0,0,D,2.7,3,2.37,3.05,2.9,2.35,2.7,3,2.4,2.6,3,2.4,2.8,2.9,2.3,2.75,3,2.4,,,,1.85,1.79,1.42,2.4,0.5,,,,,,,,,,,,,
G1,23/01/05,OFI,Kalamaria,0,0,D,0,0,D,1.5,3.5,5.5,1.5,3.45,7,1.5,3.6,5.75,1.5,3.7,5,1.5,3.4,6,1.53,3.6,5.5,,,,1.71,1.95,1.5,2.21,-0.5,,,,,,,,,,,,,
G1,29/01/05,Kalamaria,Ionikos,1,1,D,1,0,H,,,,2.1,3,3.45,2.1,3,3.25,2.1,2.9,3.2,2.1,2.9,3.2,2,3,3.5,2.1,3,3.25,,,,,,,,,,,,,,,,,
G1,29/01/05,PAOK,Panionios,1,0,H,0,0,D,,,,1.7,3.2,5,1.7,3.3,4.4,1.65,3.1,4.8,1.7,3.1,4.5,1.667,3.25,4.75,1.7,3.3,4.4,,,,,,,,,,,,,,,,,
G1,30/01/05,Chalkidona,Iraklis,0,0,D,0,0,D,,,,2,3,3.75,1.9,3.2,3.6,1.9,2.9,3.8,2,2.9,3.5,2,3.2,3.3,1.9,3.2,3.6,,,,,,,,,,,,,,,,,
G1,30/01/05,Egaleo,OFI,2,0,H,0,0,D,1.8,3.2,4,1.8,3.2,4.3,1.8,3.1,4.15,1.8,3,4,1.727,3.2,4.2,1.8,3.2,4,1.8,3.1,4.15,,,,,,,,,,,,,,,,,
G1,30/01/05,Ergotelis,Kalithea,1,1,D,1,0,H,2.37,3,2.75,2.3,3,3,2.35,3,2.75,2.3,3,2.7,2.2,3,2.9,2.2,3,3.1,2.35,3,2.75,,,,,,,,,,,,,,,,,
G1,30/01/05,Kerkyra,AEK,2,2,D,1,1,D,4.5,3.5,1.61,5.4,3.45,1.6,5.5,3.2,1.6,5,3.2,1.6,5.5,3.4,1.533,5,3.6,1.571,5.5,3.2,1.6,,,,,,,,,,,,,,,,,
G1,30/01/05,Olympiakos,Aris,2,1,H,1,1,D,1.12,6,15,1.15,5.9,16,1.18,5.5,11,1.17,5.5,11,1.167,5.5,13,1.2,5,12,1.18,5.5,11,,,,,,,,,,,,,,,,,
G1,30/01/05,Xanthi,Panathinaikos,3,1,H,2,1,H,4.33,3.39,1.66,5.35,3.25,1.65,4.6,3.2,1.7,4.6,3,1.7,5,3,1.667,4.75,3.25,1.667,4.6,3.2,1.7,,,,,,,,,,,,,,,,,
G1,05/02/05,Panionios,Olympiakos,0,2,A,0,0,D,5.5,3.25,1.57,5.3,3.1,1.7,4.5,3.2,1.7,4.4,3.3,1.65,5,3,1.67,,,,,,,1.95,1.71,1.87,1.7,0.5,,,,,,,,,,,,
G1,12/02/05,Aris,Ergotelis,1,1,D,0,1,A,1.66,3.4,4.33,1.6,3.25,6,1.6,3.25,5.25,1.65,3.2,4.2,1.61,3.25,5,1.67,3.4,4.5,,,,2,1.65,1.6,2.01,-0.5,,,,,,,,,,,,
G1,12/02/05,Olympiakos,Xanthi,0,0,D,0,0,D,1.22,5,9.5,1.25,5,10,1.25,4.5,9.75,1.27,4.2,9,1.2,5,10,1.25,5,9,,,,1.65,2,1.69,1.74,-1.5,,,,,,,,,,,,
G1,12/02/05,Panathinaikos,Kalamaria,5,1,H,3,0,H,1.12,6.5,12,1.1,7.5,18,1.11,7,12.5,1.12,6.5,13,1.08,7,17,1.12,6.5,13,,,,,,1.11,4.49,-0.5,,,,,,,,,,,,
G1,13/02/05,Ionikos,Egaleo,1,1,D,0,1,A,2.62,2.9,2.5,2.7,2.85,2.65,2.6,2.8,2.6,2.5,2.9,2.6,2.6,2.8,2.6,2.6,2.9,2.6,,,,2.2,1.55,2.6,1.35,-0.5,,,,,,,,,,,,
G1,13/02/05,Iraklis,PAOK,1,0,H,0,0,D,2.62,3.1,2.37,2.75,3,2.5,2.65,2.95,2.45,2.65,2.9,2.45,2.6,3,2.4,2.62,3,2.5,2.5,2.95,2.6,1.95,1.71,1.4,2.45,0.5,,,,,,,,,,,,
G1,13/02/05,Kalithea,Chalkidona,3,1,H,2,1,H,2.2,3,3,2.35,2.95,3,2.2,2.95,3,2.2,2.9,3,2.25,2.9,2.9,2.25,3,3,,,,2.1,1.6,2.2,1.49,-0.5,,,,,,,,,,,,
G1,13/02/05,OFI,Kerkyra,3,1,H,1,1,D,1.57,3.5,5,1.6,3.35,5.65,1.57,3.4,5.25,1.6,3.4,4.6,1.53,3.4,5.5,1.57,3.4,5.5,,,,1.85,1.79,1.57,2.06,-0.5,,,,,,,,,,,,
G1,13/02/05,Panionios,AEK,1,1,D,1,0,H,3.75,3.2,1.83,3.9,2.9,2,3.75,2.9,1.95,3.2,3.1,2,3.75,3.1,1.83,3.75,3.1,1.91,3.75,3,1.9,2,1.65,1.64,1.95,0.5,,,,,,,,,,,,
G1,19/02/05,AEK,Iraklis,2,1,H,0,0,D,1.36,4,7,1.35,4.25,8,1.35,4.25,6.75,1.35,4,7,1.36,4,7,1.4,3.75,7.5,1.35,4,7.5,1.9,1.75,1.9,1.56,-1.5,,,,,,,,,,,,
G1,19/02/05,Kerkyra,Ionikos,2,2,D,0,1,A,2.1,3,3.2,2.05,2.95,3.65,2.15,3,3.1,2.1,2.9,3.2,2.1,3,3.1,2.2,2.8,3.25,,,,2.1,1.6,2.15,1.52,-0.5,,,,,,,,,,,,
G1,19/02/05,Xanthi,Kalamaria,4,1,H,2,1,H,1.36,4,7,1.4,4,7.5,1.35,4.25,6.75,1.35,4,7,1.36,4,7,1.44,3.6,7,,,,1.71,1.95,1.9,1.56,-1.5,,,,,,,,,,,,
G1,20/02/05,Chalkidona,Aris,1,0,H,0,0,D,2,3,3.4,1.95,2.95,4,2,3,3.45,1.85,3.1,3.6,2.1,2.9,3.2,2.1,2.8,3.6,,,,2,1.65,2,1.6,-0.5,,,,,,,,,,,,
G1,20/02/05,Egaleo,Panathinaikos,0,1,A,0,1,A,4.2,3.25,1.72,5.1,3.15,1.7,4.3,3.3,1.7,4,3.2,1.75,4.33,3,1.75,4.5,3.2,1.73,4.5,3.2,1.7,2,1.65,1.87,1.7,0.5,,,,,,,,,,,,
G1,20/02/05,Ergotelis,Olympiakos,2,1,H,1,1,D,7,4,1.36,9,4.55,1.3,6.75,4.25,1.35,7.5,3.8,1.35,7.5,4,1.33,7.5,3.75,1.4,,,,1.71,1.95,1.56,1.9,1.5,,,,,,,,,,,,
G1,20/02/05,Panionios,OFI,2,1,H,0,1,A,1.9,3.1,3.6,1.8,3.15,4.4,1.9,3.1,3.65,1.8,3.1,3.8,1.8,3.2,3.75,2,3,3.5,,,,2,1.65,1.9,1.68,-0.5,,,,,,,,,,,,
G1,20/02/05,PAOK,Kalithea,3,1,H,1,1,D,1.57,3.5,5,1.6,3.4,5.5,1.55,3.5,5.2,1.55,3.5,4.8,1.5,3.5,5.5,1.6,3.4,5,,,,1.71,1.95,1.55,2.09,-0.5,,,,,,,,,,,,
G1,26/02/05,Ionikos,Panionios,0,0,D,0,0,D,2.37,3,2.75,2.45,2.9,2.9,2.35,2.9,2.85,2.45,2.9,2.65,2.3,3,2.8,2.4,3,2.75,,,,2.1,1.6,2.35,1.44,-0.5,,,,,,,,,,,,
G1,26/02/05,Kalamaria,Egaleo,1,1,D,1,1,D,2.75,3,2.37,2.95,2.9,2.4,2.8,2.9,2.4,2.6,3,2.4,2.6,2.9,2.5,2.75,3,2.4,,,,2.1,1.6,1.42,2.4,0.5,,,,,,,,,,,,
G1,26/02/05,Kalithea,AEK,1,2,A,0,2,A,3.75,3.2,1.83,4.1,3.15,1.85,3.7,3.1,1.9,3.5,3.2,1.85,3.6,3.1,1.9,3.75,3.2,1.85,,,,1.9,1.75,1.69,1.9,0.5,,,,,,,,,,,,
G1,27/02/05,Aris,PAOK,1,3,A,0,3,A,2.5,3.1,2.5,2.5,2.95,2.75,2.55,2.9,2.6,2.55,2.8,2.65,2.5,2.88,2.6,2.6,3,2.5,,,,2.2,1.55,2.55,1.37,-0.5,,,,,,,,,,,,
G1,27/02/05,Ergotelis,Xanthi,0,2,A,0,1,A,2.75,3,2.37,2.7,3,2.5,2.65,2.9,2.5,2.55,3,2.45,2.7,3,2.38,2.75,3,2.4,,,,1.9,1.75,1.38,2.5,0.5,,,,,,,,,,,,
G1,27/02/05,Iraklis,OFI,1,0,H,0,0,D,1.83,3.2,3.75,1.95,3.1,3.75,1.95,3.1,3.5,2,3.1,3.2,1.91,3.2,3.4,2,3,3.5,,,,1.95,1.71,1.95,1.64,-0.5,,,,,,,,,,,,
G1,27/02/05,Olympiakos,Chalkidona,3,0,H,2,0,H,1.16,5.5,11,1.22,5,12,1.2,5,12,1.22,4.8,9.5,1.17,5.5,11,1.2,5.5,10,,,,1.75,1.9,,,,,,,,,,,,,,,
G1,27/02/05,Panathinaikos,Kerkyra,1,0,H,0,0,D,1.1,7,13,1.05,9,26,1.1,7,15,1.1,7,15,1.1,6.5,14,1.1,7.5,13,,,,1.55,2.2,,,,,,,,,
G1,05/03/05,OFI,Kalithea,1,1,D,0,0,D,1.72,3.2,4.33,1.75,3.2,4.65,1.8,3.15,3.9,1.8,3,4,1.8,3.25,3.75,1.8,3.25,4,,,,1.83,1.83,3,1.2,-1.5,,,,,,
G1,05/03/05,Xanthi,Egaleo,2,0,H,1,0,H,1.66,3.25,4.5,1.7,3.3,4.8,1.8,3.15,3.9,1.7,3.1,4.4,1.62,3.25,5,1.75,3.2,4.33,,,,1.65,2,3,1.2,-1.5,,,,,,
G1,06/03/05,AEK,Aris,1,0,H,0,0,D,1.28,4.5,8,1.28,4.65,10,1.3,4.4,7.5,1.3,4.2,8,1.25,4.33,10,1.29,4.5,8.5,1.3,4.5,7.5,1.65,2,1.82,1.61,-1.5,,,,,,
G1,06/03/05,Chalkidona,Ergotelis,2,0,H,1,0,H,1.61,3.25,5,1.6,3.35,5.75,1.65,3.25,4.75,1.7,3.1,4.4,1.62,3.25,5,1.62,3.4,5,,,,1.65,2,2.55,1.29,-1.5,,,,,,
G1,06/03/05,Iraklis,Ionikos,2,0,H,1,0,H,1.61,3.25,5,1.65,3.3,5.3,1.65,3.25,4.75,1.65,3.2,4.6,1.67,3.25,4.5,1.67,3.3,4.75,,,,1.71,1.95,2.55,1.29,-1.5,,,,,,
G1,06/03/05,Kerkyra,Kalamaria,0,2,A,0,1,A,1.83,3,4,1.7,3.2,5,1.9,3.05,3.65,2,3,3.3,1.9,3.1,3.5,1.85,3.2,3.75,,,,1.71,1.95,3.33,1.15,-1.5,,,,,,
G1,06/03/05,Panionios,Panathinaikos,0,1,A,0,1,A,4.33,3.2,1.72,5.5,3.2,1.65,4.35,3.25,1.7,4.4,3.1,1.7,4.5,3.25,1.67,4.5,3.4,1.67,4.2,3.4,1.7,1.65,2,1.24,2.75,1.5,,,,,,
G1,06/03/05,PAOK,Olympiakos,1,1,D,0,1,A,3.2,3,2.1,3.6,3.1,2,3.15,3,2.1,3.5,3.1,1.9,3,3.1,2.1,3.2,3.1,2.1,3.2,3,2.1,1.71,1.95,1.1,3.85,1.5,,,,,,
G1,12/03/05,Kalamaria,Panionios,3,3,D,0,3,A,2.5,3.1,2.5,2.6,2.95,2.65,2.5,2.95,2.6,2.45,2.95,2.65,2.5,2.9,2.6,2.5,3,2.6,,,,2,1.65,2.5,1.38,-0.5,,,,,,
G1,12/03/05,Panathinaikos,Iraklis,0,0,D,0,0,D,1.25,4.5,9.5,1.25,5,10,1.25,4.7,9,1.22,4.8,9.5,1.3,4.3,7.5,1.22,5,10,1.25,4.5,10,1.83,1.83,1.25,3.09,-0.5,,,,,,
G1,13/03/05,Aris,OFI,3,2,H,3,1,H,2.1,3,3.2,1.9,3,4.15,2,3,3.45,2,2.9,3.4,1.9,3.1,3.5,2.05,3.1,3.25,2,3.1,3.3,2,1.65,2,1.6,-0.5,,,,,,
G1,13/03/05,Chalkidona,Xanthi,2,1,H,0,0,D,2.5,3.1,2.5,2.6,2.9,2.7,2.55,2.9,2.6,2.6,2.8,2.6,2.5,2.9,2.6,2.5,3,2.6,,,,2,1.65,2.55,1.37,-0.5,,,,,,
G1,13/03/05,Egaleo,Kerkyra,1,0,H,0,0,D,1.44,3.75,6,1.45,3.5,8,1.45,3.6,6.35,1.4,3.9,6,1.5,3.5,5.5,1.44,3.75,6.5,,,,2,1.65,2.11,1.44,-1.5,,,,,,
G1,13/03/05,Ergotelis,PAOK,0,1,A,0,0,D,2.7,3.1,2.3,3,3,2.3,2.85,3.05,2.25,2.7,3,2.3,2.8,2.9,2.3,3,3,2.25,,,,1.85,1.79,1.47,2.25,0.5,,,,,,
G1,13/03/05,Kalithea,Ionikos,0,0,D,0,0,D,1.83,3.2,3.75,2,2.75,4.25,1.85,3,4,2,2.9,3.4,2.1,2.8,3.3,2,3,3.6,,,,2,1.65,1.85,1.71,-0.5,,,,,,
G1,13/03/05,Olympiakos,AEK,1,1,D,1,0,H,1.83,3.2,3.75,1.85,3.1,4.25,1.85,3,4,1.85,3.1,3.6,1.8,3,4,1.85,3.2,3.8,1.83,3.2,3.75,2,1.65,1.8,1.76,-0.5,,,,,,,,,,,
G1,19/03/05,Kalithea,Panathinaikos,0,2,A,0,1,A,7,3.75,1.4,7.5,3.95,1.4,6.5,3.5,1.47,7,4,1.35,6.5,3.5,1.44,7,3.6,1.44,,,,1.95,1.71,2.28,1.47,0.5,,,,,,,,,,,
G1,19/03/05,Xanthi,Kerkyra,1,1,D,0,0,D,1.3,4.33,8,1.3,4.5,9.5,1.3,4.5,8,1.27,4.3,8.5,1.3,4.2,8,1.33,4.33,7.5,,,,1.75,1.9,1.3,2.88,-0.5,,,,,,,,,,,
G1,20/03/05,AEK,Ergotelis,3,0,H,1,0,H,1.2,5.5,11,1.18,6,12,1.18,5.5,11,1.17,5.5,11,1.17,6,10,1.17,6,11,,,,1.71,1.95,,,,,,,,,,,,,,
G1,20/03/05,Ionikos,Aris,2,1,H,0,0,D,2.2,2.8,3.2,2.4,2.75,3.15,2.2,2.85,3.2,2.1,2.9,3.2,2.2,2.8,3.1,2.2,2.88,3.2,,,,2.1,1.6,2.2,1.51,-0.5,,,,,,,,,,,
G1,20/03/05,Iraklis,Kalamaria,2,3,A,0,3,A,1.5,3.6,5.5,1.6,3.5,5.25,1.55,3.4,5.5,1.6,3.5,4.4,1.57,3.4,5,1.57,3.6,5,,,,1.75,1.9,1.55,2.1,-0.5,,,,,,,,,,,
G1,20/03/05,OFI,Olympiakos,1,1,D,0,0,D,5.5,3.75,1.5,5.5,3.4,1.6,5,3.4,1.6,4.4,3.3,1.65,5.5,3.4,1.53,5,3.6,1.57,5.5,3.4,1.55,1.95,1.71,2.02,1.6,0.5,,,,,,,,,,,
G1,20/03/05,Panionios,Egaleo,0,0,D,0,0,D,2.2,2.8,3.2,2.1,2.8,3.75,2.2,2.85,3.2,2.2,2.9,3,2.2,2.75,3.2,2.2,3,3.1,2.1,3.1,3.1,2.2,1.55,2.2,1.51,-0.5,,,,,,,,,,,
G1,20/03/05,PAOK,Chalkidona,2,1,H,1,1,D,1.57,3.5,5,1.65,3.4,5,1.6,3.4,5,1.55,3.5,4.8,1.57,3.4,5,1.7,3.4,4.33,,,,1.85,1.79,1.6,2.02,-0.5,,,,,,,,,,,
G1,02/04/05,Chalkidona,AEK,1,1,D,1,0,H,3.6,3.1,1.9,4.05,3.2,1.85,3.6,3,1.95,3.6,3.1,1.85,3.75,3,1.91,3.5,3,2,,,,2.1,1.6,1.64,1.95,0.5,,,,,,,,,,,
G1,02/04/05,PAOK,Xanthi,1,0,H,0,0,D,1.8,3.2,3.8,1.85,3.25,4,1.85,3.15,3.7,1.85,3.1,3.6,1.8,3.2,4,1.85,3.1,4,,,,1.83,1.83,1.85,1.7,-0.5,,,,,,,,,,,
G1,03/04/05,Egaleo,Iraklis,1,0,H,1,0,H,1.9,3.1,3.6,1.9,3.05,4.1,1.9,3,3.7,1.9,3.1,3.5,1.91,3,3.75,1.95,3.1,3.6,1.9,3.1,3.6,2,1.65,1.9,1.66,-0.5,,,,,,,,,,,
G1,03/04/05,Ergotelis,OFI,0,1,A,0,0,D,2.3,3,2.87,2.3,3,3,2.3,3,2.8,2.4,3,2.6,2.25,3,2.88,2.3,3,2.88,,,,1.95,1.71,2.3,1.45,-0.5,,,,,,,,,,,
G1,03/04/05,Kalamaria,Kalithea,1,2,A,0,0,D,2,3,3.4,2.15,2.9,3.45,2.05,3,3.25,2,2.9,3.4,2.1,3,3.2,2,3.1,3.4,,,,1.9,1.75,2.05,1.56,-0.5,,,,,,,,,,,
G1,03/04/05,Kerkyra,Panionios,1,3,A,0,0,D,2.62,2.87,2.5,2.95,2.8,2.5,2.7,2.85,2.45,2.7,2.9,2.4,2.75,3,2.4,2.75,3,2.4,,,,2.1,1.6,1.39,2.45,0.5,,,,,,,,,,,
G1,03/04/05,Olympiakos,Ionikos,2,1,H,0,1,A,1.12,6.5,12,1.1,8,15,1.1,7,13,1.12,6.5,13,1.1,7,15,1.12,6.5,13,,,,1.5,2.3,1.1,4.55,-0.5,,,,,,,,,,,
G1,03/04/05,Panathinaikos,Aris,0,0,D,0,0,D,1.12,6.5,12,1.15,6.5,13,1.13,6.5,11,1.12,6.5,13,1.14,6,13,1.14,6,13,1.14,5.5,15,1.6,2.1,1.13,4.09,-0.5,,,,,,,,,,,,
G1,09/04/05,Iraklis,Kerkyra,5,1,H,0,0,D,,,,1.55,3.4,6.25,1.52,3.5,5.5,1.5,3.7,5,1.44,3.75,6,1.57,3.5,5.5,,,,1.9,1.75,1.52,2.14,-0.5,,,,,,,,,,,,
G1,09/04/05,Kalithea,Egaleo,1,0,H,0,0,D,,,,2.95,2.6,2.65,2.6,2.8,2.6,2.4,3,2.6,2.4,2.8,2.8,2.5,2.85,2.88,,,,2.3,1.5,2.6,1.35,-0.5,,,,,,,,,,,,
G1,10/04/05,AEK,PAOK,2,0,H,1,0,H,,,,1.65,3.4,5,1.7,3.2,4.5,1.7,3.2,4.2,1.57,3.4,5,1.67,3.3,5,1.65,3.25,4.75,1.95,1.71,1.7,1.87,-0.5,,,,,,,,,,,,
G1,10/04/05,Aris,Kalamaria,0,0,D,0,0,D,,,,1.65,3.4,5.1,1.65,3.2,4.8,1.65,3.3,4.4,1.83,3.25,3.6,1.73,3.25,4.75,,,,1.95,1.71,,,,,,,,,,,,,,,
G1,10/04/05,Ionikos,Ergotelis,1,0,H,1,0,H,,,,1.75,3,5.2,1.7,3,5,1.7,3.2,4.2,1.73,3,4.5,1.73,3.25,4.75,,,,2.1,1.6,1.7,1.88,-0.5,,,,,,,,,,,,
G1,10/04/05,OFI,Chalkidona,0,1,A,0,1,A,,,,1.95,3,3.95,1.95,2.9,3.75,1.85,3.1,3.6,2,3,3.4,1.91,3.1,4,,,,2,1.65,1.95,1.64,-0.5,,,,,,,,,,,,
G1,10/04/05,Panathinaikos,Olympiakos,1,0,H,1,0,H,,,,2.35,3,3.1,2.4,2.85,2.8,2.3,2.9,2.8,2.4,2.88,2.75,2.35,3,2.9,2.4,2.9,2.75,2,1.65,2.4,1.41,-0.5,,,,,,,,,,,,
G1,10/04/05,Xanthi,Panionios,3,0,H,2,0,H,,,,1.8,3.15,4.4,1.75,3.15,4.25,1.75,3.2,4,1.67,3.25,4.5,1.73,3.3,4.5,,,,2,1.65,1.75,1.81,-0.5,,,,,,,,,,,,
G1,16/04/05,Ergotelis,Panathinaikos,1,3,A,1,1,D,8,4.33,1.3,8.75,4.9,1.28,8.5,4.5,1.28,8.5,4,1.3,8,4.5,1.28,9,4.5,1.29,,,,2,1.65,,,,,,,,,,,,,,,
G1,16/04/05,Panionios,Iraklis,1,2,A,1,2,A,2.1,3,3.2,1.95,3.25,3.6,2.1,3,3.15,1.9,3,3.6,2.1,2.87,3.25,2.1,3.1,3.2,2,3,3.4,2,1.65,2.1,1.54,-0.5,,,,,,,,,,,,
G1,17/04/05,AEK,Xanthi,2,1,H,1,1,D,1.36,3.75,8,1.5,3.55,6.7,1.5,3.45,6,1.55,3.55,4.8,1.4,3.75,6.5,1.5,3.6,6,,,,1.95,1.71,1.5,2.19,-0.5,,,,,,,,,,,,
G1,17/04/05,Chalkidona,Ionikos,0,1,A,0,1,A,1.72,3.2,4.33,1.8,2.95,4.85,1.75,3.3,4,1.8,3,4,1.7,3.25,4.2,1.73,3.4,4.2,,,,2.2,1.55,1.75,1.81,-0.5,,,,,,,,,,,,
G1,17/04/05,Egaleo,Aris,2,1,H,1,0,H,1.83,3.25,3.6,2.05,2.95,3.65,1.85,3.05,3.85,2,2.8,3.6,1.83,3,4,1.75,3.4,4,1.8,3.1,4,2.3,1.5,1.85,1.7,-0.5,,,,,,,,,,,,
G1,17/04/05,Kalamaria,Olympiakos,0,2,A,0,0,D,8,4,1.33,8.5,4.15,1.35,7.5,4,1.35,8,3.8,1.33,7,4,1.36,8,4.2,1.33,,,,1.71,1.95,,,,,,,,,,,,,,,
G1,17/04/05,Kerkyra,Kalithea,0,1,A,0,0,D,,,,3.2,2.7,2.4,2.75,3,2.3,3,2.7,2.3,3.2,2.75,2.2,3.2,2.88,2.2,,,,1.95,1.71,1.43,2.3,0.5,,,,,,,,,,,,
G1,17/04/05,PAOK,OFI,4,1,H,2,1,H,1.36,3.75,8,1.42,4,7,1.42,3.65,6.75,1.4,3.9,6,1.44,3.75,6,1.4,4,7,1.4,3.75,7,1.85,1.79,1.42,2.37,-0.5,,,,,,,,,,,
G1,23/04/05,Ionikos,PAOK,1,1,D,0,1,A,2.87,3,2.25,3,2.95,2.35,2.8,3,2.3,3,2.9,2.3,2.8,2.88,2.38,2.88,3,2.3,,,,2,1.65,,,,,,,,,,,,,,
G1,23/04/05,Kalamaria,Ergotelis,1,0,H,0,0,D,1.66,3.4,4.33,1.7,3.25,4.8,1.5,3.3,5.5,1.6,3.2,5,1.73,3.3,4.1,1.62,3.4,5,,,,1.95,1.71,1.45,2.3,0.5,,,,,,,,,,,
G1,24/04/05,Aris,Kerkyra,2,0,H,1,0,H,1.25,5,8,1.2,5.75,11,1.22,5,9,1.22,4.8,9.5,1.25,4.8,8.5,,,,,,,1.83,1.83,,,,,,,,,,,,,,
G1,24/04/05,Kalithea,Panionios,1,1,D,1,1,D,2,3,3.4,2.05,2.95,3.7,1.9,3.1,3.6,1.9,3.1,3.5,2,2.88,3.6,2,3,3.5,,,,2.1,1.6,1.9,1.67,-0.5,,,,,,,,,,,
G1,24/04/05,OFI,AEK,2,3,A,0,0,D,4.2,3.25,1.72,4.45,3,1.85,4,3.1,1.8,3.6,3.1,1.85,,,,4.2,3.25,1.75,4.2,3.2,1.75,2.1,1.6,1.75,1.8,0.5,,,,,,,,,,,
G1,24/04/05,Olympiakos,Egaleo,3,1,H,1,0,H,1.14,6,12,1.1,8,15,1.15,6,11,1.15,6,12,1.14,6,12,1.17,6,11,1.15,6,11,1.79,1.85,,,,,,,,,,,,,,
