Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,WHH,WHD,WHA
I2,11/02/01,Treviso,Chievo,0,2,A,0,0,D,2.7,2.5,2.65,2.7,2.4,2.6,2.6,2.4,2.95
I2,12/02/01,Venezia,Torino,1,0,H,0,0,D,2.25,2.45,3.4,2.3,2.4,3,2.25,2.4,3.55
I2,16/02/01,Monza,Pescara,1,0,H,0,0,D,2.2,2.6,3.25,2.5,2.3,2.9,2.3,2.9,2.75
I2,18/02/01,Cagliari,Salernitana,1,1,D,1,1,D,1.55,2.95,6.1,1.6,2.8,4.8,1.6,2.85,6
I2,18/02/01,Chievo,Crotone,3,1,H,1,1,D,1.5,3.1,6.25,1.55,2.8,5.5,1.55,3,6.2
I2,18/02/01,Cittadella,Pistoiese,2,1,H,0,1,A,1.8,2.7,4.5,1.8,2.5,4.4,1.85,2.65,4.5
I2,18/02/01,Cosenza,Venezia,1,0,H,0,0,D,2.25,2.45,3.4,2.3,2.3,3.2,2.3,2.45,3.4
I2,18/02/01,Ravenna,Genoa,1,1,D,1,0,H,2.2,2.55,3.35,2.2,2.3,3.4,2.25,2.75,3
I2,18/02/01,Sampdoria,Ancona,3,1,H,1,1,D,1.55,2.95,6.1,1.6,2.8,4.8,1.55,2.9,6.5
I2,18/02/01,Siena,Piacenza,0,0,D,0,0,D,2.55,2.45,2.85,2.5,2.4,2.8,2.7,2.4,2.8
I2,18/02/01,Torino,Treviso,1,0,H,0,0,D,1.35,3.6,7.85,1.4,3.3,6,1.35,3.6,8.5
I2,19/02/01,Empoli,Ternana,0,0,D,0,0,D,2.25,2.45,3.35,2.2,2.5,3.1,2.35,2.5,3.15
I2,23/02/01,Venezia,Ancona,2,1,H,2,0,H,1.62,2.9,5.8,1.5,2.8,6,1.55,2.85,7
I2,25/02/01,Chievo,Cagliari,2,1,H,1,0,H,1.8,2.8,4.55,1.8,2.5,4.3,1.85,2.6,4.7
I2,25/02/01,Crotone,Treviso,4,3,H,2,1,H,1.83,2.75,4.45,1.8,2.5,4.2,1.7,2.7,5.5
I2,25/02/01,Monza,Cosenza,4,2,H,2,1,H,3.15,2.7,2.25,2.9,2.5,2.3,3.1,2.55,2.35
I2,25/02/01,Pescara,Cittadella,2,0,H,2,0,H,2.38,2.7,2.9,1.9,2.5,3.9,2.2,2.6,3.3
I2,25/02/01,Piacenza,Empoli,2,0,H,0,0,D,1.63,2.9,5.7,1.5,2.8,6,1.55,2.85,7
I2,25/02/01,Pistoiese,Ravenna,2,2,D,1,2,A,1.77,2.75,4.9,1.8,2.4,4.5,1.75,2.65,5.25
I2,25/02/01,Sampdoria,Torino,2,0,H,2,0,H,2.3,2.7,3.1,2.1,2.5,3.3,2.25,2.55,3.3
I2,25/02/01,Ternana,Siena,4,0,H,1,0,H,1.58,3,6,1.5,2.8,6,1.55,2.9,6.8
I2,26/02/01,Salernitana,Genoa,0,1,A,0,1,A,1.75,2.9,4.6,1.8,2.5,4.3,1.75,2.8,4.75
I2,02/03/01,Empoli,Sampdoria,0,0,D,0,0,D,2.48,2.6,2.9,2.4,2.4,2.9,2.5,2.4,3.1
I2,04/03/01,Ancona,Cosenza,3,1,H,1,0,H,2.27,2.65,3.18,2.2,2.4,3.2,2.2,2.4,3.75
I2,04/03/01,Cagliari,Piacenza,0,0,D,0,0,D,2.25,2.65,3.2,2.2,2.4,3.2,2.1,2.5,3.8
I2,04/03/01,Crotone,Venezia,2,2,D,2,1,H,2.67,2.6,2.7,2.5,2.4,2.8,2.75,2.4,2.8
I2,04/03/01,Genoa,Ternana,2,2,D,1,2,A,2.2,2.6,3.4,2.2,2.4,3.2,2.25,2.4,3.6
I2,04/03/01,Ravenna,Pescara,2,3,A,2,1,H,2.07,2.7,3.6,2.1,2.3,3.7,2,2.9,3.4
I2,04/03/01,Siena,Salernitana,0,0,D,0,0,D,2,2.7,3.8,2,2.4,3.7,1.9,2.5,4.7
I2,04/03/01,Torino,Monza,2,1,H,1,1,D,1.3,4,8.6,1.3,3.5,8.5,1.3,4,8.5
I2,04/03/01,Treviso,Pistoiese,1,2,A,1,1,D,1.97,2.65,4,1.7,2.6,4.8,1.8,2.6,5
I2,05/03/01,Cittadella,Chievo,0,0,D,0,0,D,3.05,2.2,2.8,3,2.2,2.6,3,2.3,2.7
I2,09/03/01,Piacenza,Crotone,1,2,A,0,1,A,1.55,3,6.4,1.55,2.7,6,1.45,3.25,7
I2,11/03/01,Chievo,Ravenna,0,0,D,0,0,D,1.35,3.6,8,1.4,3,7.5,1.25,4.25,9.5
I2,11/03/01,Cosenza,Empoli,1,1,D,0,1,A,1.68,2.8,5.5,1.7,2.6,4.8,1.65,2.7,6
I2,11/03/01,Monza,Cagliari,1,0,H,0,0,D,2.85,2.5,2.6,2.7,2.5,2.5,2.6,2.7,2.6
I2,11/03/01,Pescara,Siena,0,0,D,0,0,D,2,2.7,3.9,1.85,2.5,4.2,1.65,2.9,5.25
I2,11/03/01,Pistoiese,Ancona,1,1,D,0,1,A,2.15,2.5,3.7,2,2.4,3.8,2,2.5,4.2
I2,11/03/01,Salernitana,Treviso,0,1,A,0,1,A,1.72,2.8,5.1,1.7,2.5,5,1.6,3,5.5
I2,11/03/01,Sampdoria,Cittadella,2,0,H,1,0,H,1.47,3.2,7,1.45,2.9,7,1.4,3.4,7.5
I2,11/03/01,Venezia,Genoa,1,1,D,1,0,H,1.52,3.05,6.7,1.6,2.6,5.8,1.55,2.95,6.5
I2,12/03/01,Ternana,Torino,0,1,A,0,1,A,2.15,2.55,3.6,2.2,2.4,3.4,2,2.65,3.8
I2,16/03/01,Treviso,Venezia,0,1,A,0,1,A,3,2.55,2.45,2.8,2.4,2.5,2.9,2.35,2.7
I2,18/03/01,Ancona,Chievo,5,2,H,3,2,H,2.75,2.15,3.3,2.4,2.4,2.9,,,
I2,18/03/01,Cagliari,Sampdoria,1,1,D,0,1,A,2.3,2.55,3.25,2.2,2.4,3.2,2.25,2.35,3.75
I2,18/03/01,Cittadella,Monza,0,1,A,0,0,D,1.7,2.85,5.2,1.7,2.7,4.5,1.75,2.7,5
I2,18/03/01,Crotone,Pistoiese,1,0,H,0,0,D,1.7,2.8,5.25,1.7,2.7,4.5,1.75,2.65,5.25
I2,18/03/01,Genoa,Pescara,0,0,D,0,0,D,1.75,2.8,4.8,1.8,2.7,4,,,
I2,18/03/01,Ravenna,Empoli,0,2,A,0,0,D,2.45,2.6,2.95,2.2,2.5,3.1,2.35,2.7,2.9
I2,18/03/01,Salernitana,Ternana,0,0,D,0,0,D,2.35,2.5,3.25,2.4,2.4,2.9,,,
I2,18/03/01,Torino,Piacenza,1,0,H,0,0,D,1.9,2.7,4.2,1.9,2.4,4.1,2,2.5,4.2
I2,19/03/01,Siena,Cosenza,1,0,H,0,0,D,2.65,1.85,4.2,2.3,2.3,3.2,,,
I2,23/03/01,Monza,Ternana,1,1,D,0,0,D,2.55,2.45,3,2.5,2.2,3,2.45,2.5,3
I2,25/03/01,Ancona,Pescara,3,2,H,1,2,A,1.62,2.9,5.75,1.7,2.7,4.2,1.7,2.75,5.3
I2,25/03/01,Cosenza,Genoa,1,0,H,0,0,D,1.7,2.8,5.25,1.75,2.6,4.2,1.8,2.6,5
I2,25/03/01,Piacenza,Salernitana,3,1,H,2,0,H,1.5,3.1,6.75,1.5,2.9,5.5,1.5,3.3,5.75
I2,25/03/01,Pistoiese,Cagliari,4,2,H,2,1,H,2.4,2.4,3.3,2.2,2.4,3.1,2.2,2.7,3.15
I2,25/03/01,Ravenna,Treviso,1,1,D,1,1,D,2.37,2.55,3.1,,,,2.45,2.75,2.7
I2,25/03/01,Sampdoria,Crotone,2,1,H,2,0,H,1.63,2.85,5.75,1.65,2.7,4.4,1.55,3.2,5.5
I2,25/03/01,Torino,Cittadella,2,2,D,1,1,D,1.35,3.55,8.6,1.3,3.5,8,1.3,3.9,8.5
I2,25/03/01,Venezia,Siena,3,0,H,1,0,H,1.5,3,7.25,1.45,2.8,7,1.4,3.4,7.5
I2,26/03/01,Empoli,Chievo,1,1,D,1,0,H,2.65,2.35,3,,,,2.5,2.15,3.6
I2,30/03/01,Cittadella,Cosenza,0,1,A,0,0,D,2.45,2.45,3.2,,,,2.3,2.5,3.3
I2,01/04/01,Cagliari,Ravenna,2,0,H,1,0,H,1.5,3,7,1.45,3,5.5,1.4,3.5,7
I2,01/04/01,Chievo,Pistoiese,1,1,D,1,0,H,1.45,3.2,7.2,1.4,3,7,1.45,3.1,7.75
I2,01/04/01,Crotone,Monza,2,1,H,1,0,H,1.6,2.9,6,1.65,2.7,4.7,1.55,3.1,5.75
I2,01/04/01,Pescara,Venezia,2,3,A,1,1,D,3.16,2.4,2.5,2.9,2.4,2.4,3,2.6,2.35
I2,01/04/01,Salernitana,Ancona,4,2,H,1,0,H,2.25,2.45,3.55,2.1,2.5,3.3,2.1,2.6,3.6
I2,01/04/01,Siena,Torino,0,2,A,0,2,A,2.87,2.35,2.7,,,,,,
I2,01/04/01,Ternana,Piacenza,0,1,A,0,1,A,2.25,2.4,3.6,2.2,2.3,3.3,2.05,2.4,4.25
I2,02/04/01,Genoa,Sampdoria,2,0,H,1,0,H,2.95,2.4,2.6,3,2.2,2.5,2.8,2.5,2.6
I2,06/04/01,Torino,Chievo,0,0,D,0,0,D,1.95,2.5,4.4,1.8,2.3,5.2,1.7,2.6,6
I2,08/04/01,Ancona,Crotone,2,0,H,2,0,H,1.95,2.6,4.15,2.1,2.3,3.7,2,2.7,3.7
I2,08/04/01,Cosenza,Cagliari,1,3,A,0,1,A,1.83,2.7,4.75,1.9,2.4,4.1,1.8,2.8,4.5
I2,08/04/01,Empoli,Cittadella,2,0,H,2,0,H,1.75,2.65,5.2,,,,1.8,2.3,6.75
I2,08/04/01,Monza,Genoa,1,5,A,0,2,A,2.2,2.45,3.65,2.3,2.4,3,2.2,2.65,3.25
I2,08/04/01,Pistoiese,Ternana,2,3,A,0,1,A,2.45,2.4,3.2,2.4,2.3,3,2.1,2.35,4.2
I2,08/04/01,Ravenna,Siena,2,1,H,0,1,A,2.48,2.45,3,,,,2.35,2.6,3.05
I2,08/04/01,Sampdoria,Treviso,2,0,H,1,0,H,1.47,3.1,7.2,1.45,2.8,7.5,1.5,3,7
I2,08/04/01,Venezia,Salernitana,2,0,H,0,0,D,1.45,3.2,7.2,1.45,2.8,7.5,1.5,2.95,7.5
I2,09/04/01,Piacenza,Pescara,2,1,H,0,1,A,1.4,3.35,7.75,1.4,3,7,1.35,3.55,8.5
I2,14/04/01,Cagliari,Venezia,2,1,H,1,1,D,2.4,2.5,3.15,2.4,2.2,3.2,2.5,2.5,2.95
I2,14/04/01,Chievo,Sampdoria,1,1,D,1,1,D,2.2,2.55,3.45,,,,2.2,2.35,3.8
I2,14/04/01,Crotone,Torino,0,1,A,0,0,D,2.7,2.45,2.8,2.8,2.2,2.8,2.65,2.5,2.75
I2,14/04/01,Genoa,Ancona,3,1,H,2,1,H,1.9,2.7,4.2,1.8,2.6,4,1.7,2.8,5.2
I2,14/04/01,Pescara,Pistoiese,0,1,A,0,0,D,2.3,2.6,3.15,2,2.6,3.3,2.15,2.6,3.45
I2,14/04/01,Piacenza,Monza,1,0,H,0,0,D,1.35,3.7,8,1.25,4,8.5,1.3,4,8.5
I2,14/04/01,Salernitana,Cosenza,0,1,A,0,1,A,2.2,2.55,3.45,2.3,2.3,3.1,2.15,2.4,3.9
I2,14/04/01,Siena,Empoli,1,1,D,1,1,D,2.1,2.55,3.7,,,,2.25,2.25,4
I2,14/04/01,Ternana,Ravenna,4,0,H,2,0,H,1.35,3.7,8,1.3,3.5,8,1.3,4.1,8
I2,14/04/01,Treviso,Cittadella,1,2,A,0,0,D,1.97,2.6,4.1,1.8,2.6,4,1.8,2.6,5
I2,20/04/01,Empoli,Crotone,4,2,H,3,1,H,,,,,,,,,
I2,22/04/01,Ancona,Piacenza,0,2,A,0,1,A,2.5,2.5,3.1,,,,2.8,2.4,2.75
I2,22/04/01,Cittadella,Cagliari,2,0,H,1,0,H,2.55,2.5,2.97,2.7,2.4,2.6,2.5,2.55,2.9
I2,22/04/01,Cosenza,Treviso,3,2,H,1,1,D,1.53,3.1,6.55,1.5,3,5.2,1.45,3.5,6.1
I2,22/04/01,Monza,Siena,1,2,A,1,1,D,2.17,2.55,3.62,2.1,2.5,3.4,2.2,2.5,3.5
I2,22/04/01,Pescara,Chievo,0,2,A,0,1,A,3.45,2.6,2.2,,,,3.5,2.9,1.95
I2,22/04/01,Pistoiese,Salernitana,1,1,D,1,0,H,2.05,2.55,4,,,,2.1,2.25,4.6
I2,22/04/01,Sampdoria,Ravenna,2,0,H,0,0,D,1.22,4.6,9.5,1.2,4.2,10,1.2,5,9.5
I2,22/04/01,Torino,Genoa,1,1,D,0,0,D,1.5,3.2,6.7,1.55,2.7,5.5,1.6,2.75,6.5
I2,23/04/01,Venezia,Ternana,2,1,H,1,0,H,1.7,2.85,5.25,1.8,2.3,4.5,1.8,2.6,5
I2,27/04/01,Cagliari,Empoli,2,3,A,1,2,A,1.85,2.8,4.35,,,,,,
I2,29/04/01,Chievo,Cosenza,2,1,H,0,0,D,1.9,2.6,4.6,,,,,,
I2,29/04/01,Crotone,Cittadella,2,2,D,1,1,D,1.8,2.75,4.85,,,,,,
I2,29/04/01,Genoa,Pistoiese,0,0,D,0,0,D,1.75,2.6,5.6,,,,,,
I2,29/04/01,Piacenza,Venezia,1,0,H,1,0,H,2.05,2.4,4.5,,,,,,
I2,29/04/01,Ravenna,Torino,1,2,A,1,0,H,5.5,3,1.55,,,,,,
I2,29/04/01,Salernitana,Pescara,3,1,H,2,1,H,1.3,3.8,8,,,,,,
I2,29/04/01,Ternana,Ancona,3,2,H,1,1,D,1.4,3.4,8,,,,,,
I2,29/04/01,Treviso,Monza,3,0,H,0,0,D,1.5,3.1,5.8,,,,,,
I2,30/04/01,Siena,Sampdoria,0,0,D,0,0,D,3.6,2.65,2,,,,3.7,2.55,2.1
I2,03/05/01,Treviso,Empoli,1,1,D,1,1,D,1.95,3,3.5,,,,1.95,2.9,3.55
I2,10/05/01,Torino,Cagliari,2,0,H,1,0,H,1.35,3.25,7.5,1.55,2.7,5.8,,,
I2,12/05/01,Ancona,Treviso,3,1,H,1,1,D,1.9,3.1,3.4,,,,,,
I2,12/05/01,Cittadella,Ravenna,1,0,H,1,0,H,1.4,3.45,7.25,,,,,,
I2,12/05/01,Cosenza,Sampdoria,4,4,D,2,1,H,2.4,2.65,2.98,,,,,,
I2,12/05/01,Empoli,Salernitana,2,1,H,1,0,H,2,2.75,3.7,,,,,,
I2,12/05/01,Genoa,Piacenza,1,1,D,0,1,A,4,1.6,3.25,,,,,,
I2,12/05/01,Monza,Chievo,1,3,A,1,0,H,6,3.4,1.4,,,,,,
I2,12/05/01,Pescara,Ternana,1,3,A,1,0,H,4.15,3.2,1.75,,,,,,
I2,12/05/01,Siena,Crotone,1,1,D,0,0,D,2,2.6,4.1,,,,,,
I2,12/05/01,Venezia,Pistoiese,1,0,H,0,0,D,1.35,3.5,8.5,,,,,,
I2,20/05/01,Cagliari,Ancona,2,2,D,2,0,H,,,,,,,,,
I2,20/05/01,Chievo,Piacenza,1,1,D,1,1,D,,,,,,,,,
I2,20/05/01,Cittadella,Genoa,1,1,D,1,0,H,,,,,,,,,
I2,20/05/01,Crotone,Salernitana,0,1,A,0,1,A,,,,,,,,,
I2,20/05/01,Empoli,Torino,2,1,H,1,0,H,,,,,,,,,
I2,20/05/01,Pistoiese,Siena,0,1,A,0,0,D,,,,,,,,,
I2,20/05/01,Ravenna,Monza,2,3,A,1,2,A,,,,,,,,,
I2,20/05/01,Sampdoria,Venezia,4,1,H,3,1,H,,,,,,,,,
I2,20/05/01,Ternana,Cosenza,1,1,D,1,0,H,,,,,,,,,
I2,20/05/01,Treviso,Pescara,1,0,H,0,0,D,,,,,,,,,
I2,27/05/01,Ancona,Ravenna,2,5,A,2,4,A,,,,,,,,,
I2,27/05/01,Cosenza,Pistoiese,1,3,A,1,1,D
I2,27/05/01,Genoa,Crotone,2,0,H,0,0,D
I2,27/05/01,Monza,Empoli,0,1,A,0,0,D
I2,27/05/01,Pescara,Torino,0,1,A,0,1,A
I2,27/05/01,Piacenza,Sampdoria,2,1,H,0,1,A
I2,27/05/01,Salernitana,Cittadella,3,0,H,1,0,H
I2,27/05/01,Siena,Cagliari,1,1,D,1,0,H
I2,27/05/01,Ternana,Treviso,3,1,H,0,1,A
I2,27/05/01,Venezia,Chievo,2,1,H,1,0,H
I2,10/06/01,Ancona,Cittadella,1,1,D,1,1,D
I2,03/06/01,Cagliari,Ternana,1,1,D,1,0,H
I2,03/06/01,Chievo,Salernitana,2,0,H,0,0,D
I2,06/06/01,Cittadella,Siena,0,0,D,0,0,D
I2,10/06/01,Cosenza,Ravenna,3,1,H,1,0,H
I2,03/06/01,Crotone,Pescara,2,0,H,1,0,H
I2,03/06/01,Empoli,Ancona,3,1,H,1,1,D
I2,10/06/01,Genoa,Cagliari,2,0,H,0,0,D
I2,10/06/01,Monza,Pistoiese,3,1,H,1,0,H
I2,10/06/01,Pescara,Sampdoria,2,2,D,0,1,A
I2,10/06/01,Piacenza,Treviso,1,1,D,0,1,A
I2,03/06/01,Pistoiese,Piacenza,1,1,D,1,1,D
I2,03/06/01,Ravenna,Venezia,0,3,A,0,1,A
I2,10/06/01,Salernitana,Torino,0,2,A,0,2,A
I2,03/06/01,Sampdoria,Monza,4,2,H,2,1,H
I2,10/06/01,Siena,Chievo,1,1,D,0,0,D
I2,10/06/01,Ternana,Crotone,0,0,D,0,0,D
I2,03/06/01,Torino,Cosenza,2,1,H,0,0,D
I2,03/06/01,Treviso,Genoa,2,2,D,0,1,A
I2,10/06/01,Venezia,Empoli,2,2,D,2,2,D
