Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH
SC0,07/12/03,Aberdeen,Hibernian,3,1,H,1,0,H,K Clark,11,11,3,5,10,20,5,7,2,3,0,0,2.5,3.2,2.5,2.6,3.25,2.38,2.4,3.2,2.4,2.5,3.25,2.4,2.5,3.2,2.5,2.5,3.2,2.5,2.62,3.1,2.37,1.85,1.85,2,1.8,0
SC0,07/12/03,Partick,Motherwell,1,0,H,0,0,D,T Brown,9,6,7,3,15,13,7,6,1,0,0,0,3.25,3.25,2,3.5,3.3,1.9,3.1,3.2,2,3,3.4,2,3.5,3.25,1.91,3.5,3.25,1.9,3.5,3.4,1.83,1.85,1.85,1.9,1.9,0.5
SC0,13/12/03,Celtic,Dundee,3,2,H,1,1,D,K Clark,12,8,9,5,11,14,9,8,1,4,0,0,1.063,8,21,1.06,8.2,22,1.07,8,16,1.063,7.5,21,1.06,8,19,1.06,8,19,1.08,7,17,,,,,
SC0,13/12/03,Dundee United,Livingston,2,0,H,1,0,H,D McDonald,5,9,2,4,14,23,4,5,1,1,0,0,2.3,3.2,2.7,2.3,3.2,2.75,2.3,3.1,2.6,2.4,3.25,2.5,2.25,3.25,2.75,2.3,3.2,2.75,2.4,3.25,2.5,1.85,1.85,1.7,2.05,0
SC0,13/12/03,Hearts,Kilmarnock,2,1,H,0,0,D,I Brines,8,6,7,4,17,11,8,5,3,2,0,0,1.727,3.5,4,1.78,3.35,4,1.8,3.1,3.8,1.8,3.4,3.6,1.73,3.25,4.33,1.72,3.25,4.33,1.8,3.3,3.75,1.71,2,1.78,2.02,-0.5
SC0,13/12/03,Motherwell,Hibernian,0,1,A,0,0,D,C Thomson,11,13,6,9,9,15,7,12,0,1,0,0,2,3.25,3.25,2,3.25,3.3,2.2,3,2.9,2.1,3.2,3,2,3.25,3.25,2,3.25,3.25,2.2,3.25,2.75,1.71,2,2,1.8,-0.5
SC0,13/12/03,Partick,Aberdeen,0,3,A,0,1,A,S Dougal,7,11,1,6,6,9,8,4,1,2,0,0,2.5,3.2,2.5,2.6,3.15,2.45,2.5,3,2.5,2.625,3.4,2.25,2.5,3.2,2.5,2.5,3.2,2.5,2.5,3.1,2.5,1.75,1.95,1.95,1.85,0
SC0,14/12/03,Dunfermline,Rangers,2,0,H,1,0,H,A Freeland,5,9,5,6,14,13,1,7,0,2,0,0,9,5,1.25,9,5,1.25,8,4.2,1.3,9,4,1.3,8.5,5.5,1.22,9,5.5,1.22,8.5,4.2,1.3,,,,,
SC0,20/12/03,Aberdeen,Dundee,2,2,D,1,1,D,M McCurry,12,7,8,4,15,9,6,7,1,2,0,0,1.909,3.25,3.5,2.1,3.25,3.05,2,3.2,3.1,1.833,3.4,3.5,2.1,3.25,3,2.1,3.25,3,2.1,3.3,2.87,1.79,1.9,1.85,2,-0.25
SC0,20/12/03,Kilmarnock,Livingston,0,3,A,0,0,D,C Richmond,9,11,4,7,5,16,6,3,0,3,0,0,1.833,3.25,3.75,2.05,3.2,3.2,2,3.2,3.1,2.1,3.5,2.75,2,3.25,3.25,2,3.25,3.25,2.1,3.3,2.87,1.79,1.9,2.05,1.75,-0.5
SC0,20/12/03,Rangers,Hearts,2,1,H,1,1,D,H Dallas,17,13,9,10,11,21,4,8,1,1,0,0,1.2,5.5,10,1.23,5.3,9,1.22,4.8,9.5,1.2,5,11,1.22,5,10,1.22,5,10,1.25,5,8,,,,,
SC0,21/12/03,Hibernian,Dunfermline,1,2,A,0,2,A,I Fyfe,8,11,2,2,17,22,2,3,2,2,0,0,2.375,3.2,2.625,2.35,3.25,2.65,2.3,3.1,2.6,2.2,3.25,2.75,2.38,3.2,2.62,2.4,3.2,2.6,2.4,3.25,2.5,1.85,1.85,1.8,2.05,0
SC0,21/12/03,Motherwell,Celtic,0,2,A,0,1,A,J Underhill,7,8,5,6,16,17,9,2,2,3,0,0,10,5.5,1.2,10,5.2,1.22,9.5,4.8,1.22,12,5.5,1.167,10,5,1.22,10,5,1.22,9.5,5,1.22,,,,,
SC0,23/12/03,Dundee United,Partick,0,0,D,0,0,D,S Conroy,10,8,7,6,10,12,7,4,3,1,0,0,1.571,3.6,5,1.6,3.5,5,1.6,3.4,4.6,1.571,3.5,5,1.57,3.6,5,1.57,3.6,5,,,,1.79,1.9,1.9,1.95,-0.75
SC0,27/12/03,Celtic,Hibernian,6,0,H,2,0,H,A Freeland,17,4,8,1,8,12,4,3,2,2,0,1,1.083,7.5,17,1.11,6.6,17,1.1,7,15,1.111,7,13,1.11,6.5,17,1.11,6.5,17,1.1,6.5,17,,,,,
SC0,27/12/03,Hearts,Motherwell,0,0,D,0,0,D,J Rowbotham,10,6,5,2,13,12,6,2,0,0,0,0,1.667,3.5,4.333,1.72,3.4,4.25,1.65,3.3,4.4,1.727,3.5,3.75,1.67,3.4,4.5,1.66,3.4,4.5,1.72,3.25,4.2,1.75,1.95,2.05,1.8,-0.75
SC0,27/12/03,Kilmarnock,Dundee United,0,2,A,0,1,A,K Toner,7,3,4,2,12,10,6,4,1,1,0,0,2.1,3.25,3,2.05,3.35,3.05,2,3.1,3.2,2,3.4,3,1.91,3.4,3.4,1.9,3.4,3.4,,,,1.75,1.95,1.8,2.05,-0.25
SC0,27/12/03,Livingston,Aberdeen,1,1,D,0,1,A,K Clark,16,13,4,7,10,10,7,5,0,0,0,0,1.833,3.25,3.75,1.95,3.25,3.4,2,3.1,3.2,1.909,3.25,3.4,1.91,3.25,3.5,1.9,3.25,3.5,2,3.2,3.2,1.75,1.95,1.7,2.1,-0.25
SC0,27/12/03,Partick,Dunfermline,4,1,H,1,0,H,C Murray,12,11,8,5,12,13,3,3,0,0,0,1,3,3.5,2,3.25,3.25,2,3.3,3.3,1.9,3,3.2,2.1,3.25,3.25,2,3.25,3.25,2,,,,1.75,1.95,1.85,2,0.5
SC0,28/12/03,Dundee,Rangers,0,2,A,0,0,D,D McDonald,11,12,8,8,12,11,6,10,1,0,0,0,7.5,5,1.286,8,5,1.27,8.5,4.3,1.27,8,4.5,1.29,8,4.75,1.29,8,4.75,1.28,8,5,1.25,,,,,
SC0,03/01/04,Aberdeen,Kilmarnock,3,1,H,2,0,H,H Dallas,10,6,5,3,13,13,6,4,1,1,0,0,2.2,3.25,2.8,2.35,3.25,2.7,2.2,3.1,2.8,2.1,3.5,2.75,2.2,3.25,2.8,2.2,3.25,2.8,2.3,3.2,2.62,1.65,2.05,1.8,2.05,0
SC0,03/01/04,Celtic,Rangers,3,0,H,1,0,H,S Dougal,9,5,4,1,13,15,10,3,0,4,0,0,1.909,3.3,4,2,3.25,3.4,1.9,3.1,3.5,2,3.2,3.2,1.83,3.25,3.75,1.9,3.25,3.5,1.9,3.2,3.5,1.75,1.95,1.95,1.9,-0.5
SC0,03/01/04,Dunfermline,Livingston,2,2,D,1,1,D,M McCurry,7,8,5,7,16,16,6,2,2,3,0,0,1.8,3.4,3.75,1.85,3.3,3.85,1.85,3.2,3.5,1.909,3.25,3.4,1.8,3.25,4,1.8,3.25,4,1.72,3.4,4,1.85,1.85,1.85,2,-0.5
SC0,03/01/04,Hibernian,Partick,3,2,H,2,0,H,I Brines,10,3,5,2,14,20,7,11,0,4,0,0,1.727,3.25,4.333,1.7,3.5,4.35,1.7,3.2,4.2,1.615,3.5,4.5,1.67,3.4,4.5,1.66,3.4,4.5,1.66,3.4,4.33,1.79,1.9,2,1.85,-0.75,,,,,,
SC0,03/01/04,Motherwell,Dundee United,3,1,H,0,1,A,C Richmond,11,6,7,4,18,14,6,5,3,2,0,0,2.25,3.25,2.75,2.35,3.25,2.7,2.3,3,2.7,2.25,3.4,2.625,2.2,3.25,2.8,2.2,3.25,2.8,2.37,3.1,2.62,1.9,1.79,1.8,2.05,0,,,,,,
SC0,06/01/04,Dundee,Hearts,1,2,A,0,0,D,C Thompson,9,12,6,6,15,15,9,5,1,2,0,0,2.8,3.25,2.2,2.8,3.25,2.25,2.8,3.1,2.2,2.75,3.25,2.2,2.8,3.25,2.2,2.8,3.25,2.2,2.75,3.2,2.25,1.85,1.85,1.6,2.25,0.5,,,,,,
SC0,17/01/04,Dundee United,Aberdeen,3,2,H,1,0,H,S Dougal,12,12,9,4,12,16,5,7,2,3,0,0,2.1,3.25,3,2.2,3.1,3,2.3,3,2.7,2.2,3.2,2.8,2.1,3.25,3,2.1,3.25,3,2.3,3.2,2.62,1.85,1.85,1.945,1.9,-0.25,,,,,,
SC0,17/01/04,Kilmarnock,Dunfermline,1,1,D,1,0,H,W Young,12,15,7,7,10,10,6,7,1,0,0,0,2.37,3.2,2.62,2.5,3.2,2.5,2.3,3,2.7,2.38,3.2,2.6,2.38,3.2,2.62,2.38,3.2,2.62,2.5,3.1,2.5,1.71,2,1.9,1.95,0,,,,,,
SC0,17/01/04,Livingston,Hibernian,1,0,H,1,0,H,J Underhill,11,12,5,9,12,13,5,0,3,2,0,0,2.2,3.25,2.8,2.25,3.2,2.8,2.3,3,2.7,2.2,3.25,2.75,2.2,3.25,2.8,2.2,3.25,2.8,2.3,3.2,2.62,1.85,1.85,2.05,1.8,-0.25,,,,,,
SC0,17/01/04,Partick,Dundee,1,2,A,1,0,H,M Ritchie,6,9,3,7,15,11,4,6,0,0,0,0,2.37,3.2,2.62,2.4,3.15,2.65,2.3,3,2.7,2.2,3.25,2.75,2.4,3.2,2.6,2.4,3.2,2.6,2.3,3.2,2.62,1.85,1.85,1.8,2.05,0,,,,,,
SC0,17/01/04,Rangers,Motherwell,1,0,H,0,0,D,C Thomson,10,7,3,0,13,16,3,6,2,1,0,0,1.16,5.5,13,1.16,6,12,1.15,6,12,1.17,5.5,12,1.17,5.5,13,1.17,5.5,13,1.16,5.5,12,,,,,,,,,,,
SC0,18/01/04,Hearts,Celtic,0,1,A,0,1,A,K Clark,10,9,5,6,22,17,2,6,5,5,0,0,10,5,1.28,8.9,4.9,1.26,9,4.5,1.25,9,5,1.22,8.5,5,1.25,9,5,1.25,10,4.5,1.25,,,,,,,,,,,
SC0,24/01/04,Aberdeen,Celtic,1,3,A,0,2,A,J Rowbotham,4,9,3,6,10,8,6,3,0,0,0,0,13,6,1.2,10,5.2,1.22,10,5,1.2,12,5.5,1.17,11,5.5,1.18,11,5.5,1.18,12,5.5,1.16,,,,,,,,,,,
SC0,24/01/04,Dunfermline,Motherwell,1,0,H,0,0,D,D MacDonald,14,3,5,1,11,13,6,1,1,1,0,0,1.8,3.4,3.75,1.85,3.25,3.75,1.9,3.1,3.5,1.83,3.2,3.75,1.83,3.25,3.75,1.85,3.25,3.75,1.8,3.25,3.8,1.9,1.79,1.85,2,-0.5,,,,,,
SC0,24/01/04,Hearts,Partick,2,0,H,1,0,H,M McCurry,9,6,6,1,11,12,3,5,1,4,0,1,1.44,3.75,6.5,1.44,3.8,6.5,1.45,3.8,5.4,1.44,3.75,6,1.44,3.75,6.5,1.44,3.75,6.5,1.4,3.75,7,1.75,1.95,1.95,1.9,-1.25,,,,,,
SC0,24/01/04,Kilmarnock,Hibernian,0,2,A,0,0,D,H Dallas,10,10,8,5,16,22,9,5,0,1,0,0,2.2,3.25,2.8,2.3,3.2,2.75,2.2,3.1,2.8,2.2,3.5,2.62,2.25,3.2,2.8,2.25,3.2,2.8,2.3,3.2,2.62,1.79,1.9,2.05,1.8,-0.25,,,,,,
SC0,24/01/04,Rangers,Livingston,1,0,H,1,0,H,I Brines,18,16,13,8,11,17,9,4,1,2,0,0,1.16,6,11,1.18,5.5,12,1.17,5.5,11,1.14,6,12,1.17,6,11,1.17,6,11,1.14,6,12,,,,,,,,,,,
SC0,25/01/04,Dundee,Dundee United,2,1,H,0,1,A,A Freeland,10,5,6,3,11,11,5,6,1,3,0,0,2.5,3.2,2.5,2.5,3.2,2.5,2.5,3,2.5,2.38,3.2,2.6,2.5,3.2,2.5,2.5,3.2,2.5,2.5,3.1,2.5,1.9,1.79,1.9,1.95,0,,,,,,
SC0,31/01/04,Celtic,Kilmarnock,5,1,H,0,0,D,T Brown,13,5,7,3,9,13,9,1,0,0,0,0,1.071,7.5,19,1.07,8,20,1.07,8,16,1.071,7,21,1.08,7,21,1.1,6.5,21,1.07,7.5,17,,,,,,,,,,,
SC0,31/01/04,Dundee United,Dunfermline,1,0,H,0,0,D,K Clark,8,8,2,3,13,12,10,5,1,1,0,0,2.375,3.2,2.625,2.4,3.25,2.6,2.3,3,2.7,2.2,3.25,2.75,2.38,3.2,2.62,2.37,3.2,2.62,2.5,3.1,2.5,1.75,1.95,1.8,2.05,0,,,,,,
SC0,31/01/04,Hibernian,Dundee,1,1,D,0,1,A,S Conroy,10,6,7,4,11,9,1,3,0,3,0,0,1.909,3.25,3.5,1.95,3.3,3.4,1.9,3.2,3.4,1.909,3.25,3.4,1.91,3.25,3.5,1.9,3.25,3.5,2,3.2,3.2,1.75,1.95,1.95,1.9,-0.5,,,,,,
SC0,01/02/04,Partick,Rangers,0,1,A,0,0,D,S Dougal,9,10,2,6,13,15,1,5,3,3,0,0,13,6,1.2,12,5.5,1.18,10,5,1.2,12,5.5,1.167,13,5.5,1.17,13,5.5,1.16,12,5.5,1.16,1.6,2.15,,,,,,,,,
SC0,10/02/04,Dundee United,Hibernian,0,0,D,0,0,D,C Thomson,17,8,7,3,10,14,5,7,0,1,0,0,2.1,3.25,3,2.15,3.25,2.95,2.1,3.1,3,2.1,3.4,2.88,2.1,3.25,3,2.1,3.25,3,2.25,3.2,2.75,1.79,1.9,2,1.8,-0.25,,,,,,
SC0,11/02/04,Dunfermline,Celtic,1,4,A,1,3,A,J Underhill,7,8,4,7,10,8,9,7,1,0,0,0,9,4.5,1.28,9,5,1.25,9,4.5,1.25,12,5.5,1.17,8.5,5,1.25,9,5,1.25,10,4.5,1.25,1.55,2.25,2,1.85,1.5,,,,,,
SC0,11/02/04,Hearts,Aberdeen,1,0,H,0,0,D,S Dougal,11,12,5,4,8,15,8,5,0,0,0,0,1.61,3.4,5,1.61,3.35,5.25,1.65,3.3,4.4,1.62,3.5,4.5,1.57,3.4,5.5,1.57,3.4,5.5,1.61,3.3,5,1.71,2,1.8,2.05,-0.75,,,,,,
SC0,11/02/04,Motherwell,Dundee,5,3,H,2,2,D,J Rowbotham,15,10,9,3,9,10,2,1,0,2,0,0,2.1,3.25,3,2.2,3.2,2.9,2.2,2.9,3,2.2,3.25,2.75,2.2,3.2,2.88,2.2,3.2,2.88,2.25,3.4,2.6,1.9,1.79,2.05,1.8,-0.25,,,,,,
SC0,11/02/04,Partick,Livingston,5,2,H,2,0,H,D McDonald,22,6,11,3,14,12,10,8,0,1,0,0,2.37,3.5,2.37,2.8,3.2,2.25,2.7,3,2.3,2.5,3.25,2.4,2.8,3.2,2.2,2.8,3.2,2.2,2.75,3.25,2.2,1.9,1.79,2.08,1.77,0,,,,,,
SC0,11/02/04,Rangers,Kilmarnock,2,0,H,1,0,H,M McCurry,13,6,7,4,8,20,8,5,0,2,0,0,1.14,6,13,1.14,6,15,1.12,6.5,13,1.12,6,15,1.14,6,13,1.14,6,13,1.14,6,12,1.55,2.25,,,,,,,,,
SC0,14/02/04,Aberdeen,Rangers,1,1,D,1,0,H,W Young,10,7,5,3,14,12,10,5,0,1,0,0,9,5,1.3,9,4.5,1.29,9,4.5,1.25,8,5,1.25,8.5,4.5,1.29,8.5,4.5,1.28,8,4.5,1.28,,,,,,,,,,,
SC0,14/02/04,Celtic,Dundee United,2,1,H,0,0,D,I Fyfe,12,4,8,2,9,17,9,3,1,4,0,1,1.083,7.5,17,1.1,7,17,1.07,8,16,1.083,6.5,21,1.08,7,19,1.08,7,19,1.08,7,17,,,,,,,,,,,
SC0,14/02/04,Dundee,Dunfermline,0,1,A,0,1,A,S Dougal,6,9,4,6,11,15,6,7,2,1,0,0,2.375,3.2,2.625,2.4,3.2,2.65,2.3,3.1,2.6,2.25,3.2,2.75,2.38,3.2,2.62,2.37,3.2,2.62,2.4,3.25,2.5,1.85,1.85,1.8,2.05,0,,,,,,
SC0,14/02/04,Kilmarnock,Partick,2,1,H,0,0,D,I Brines,13,11,7,6,18,10,7,4,2,0,0,0,1.727,3.5,4,1.8,3.4,4,1.7,3.2,4.2,1.8,3.4,3.6,1.73,3.4,4.2,1.72,3.4,4.2,1.72,3.4,4,1.75,1.95,2.05,1.8,-0.75,,,,,,
SC0,14/02/04,Livingston,Motherwell,3,1,H,3,0,H,A Freeland,11,10,7,5,20,9,2,6,4,3,0,0,2.3,3.4,2.5,2.5,3.25,2.37,2.1,3,3.1,2.25,3.5,2.5,,,,2.4,3.4,2.4,2.5,3.6,2.25,,,1.95,1.9,0,,,,,,
SC0,15/02/04,Hibernian,Hearts,1,1,D,1,0,H,M McCurry,5,4,3,2,25,22,4,4,3,2,0,0,2.5,3.2,2.5,2.6,3.15,2.45,2.6,3,2.4,2.375,3.2,2.6,2.5,3.2,2.5,2.5,3.2,2.5,2.62,3.2,2.3,1.9,1.79,1.85,2,0,,,,,,
SC0,21/02/04,Aberdeen,Dunfermline,2,0,H,1,0,H,C Thomson,6,7,5,6,11,17,10,6,0,3,0,0,2.5,3.2,2.5,2.55,3.2,2.45,2.2,3,2.9,2.25,3.2,2.75,2.5,3.2,2.5,2.5,3.2,2.5,2.6,3.1,2.4,1.75,1.95,1.9,1.95,0,,,,,,
SC0,21/02/04,Dundee,Livingston,1,0,H,0,0,D,K Toner,7,13,2,6,9,12,1,5,2,2,0,0,2,3.25,3.25,2.05,3.4,3,2.2,3,2.9,2.1,3.4,2.875,2.1,3.25,3,2.1,3.25,3,2.1,3.3,2.87,1.85,1.85,2.05,1.59,-0.5,,,,,,
SC0,21/02/04,Hearts,Dundee United,3,1,H,1,0,H,C Richmond,14,8,11,7,25,9,7,3,2,0,0,0,1.615,3.4,5,1.65,3.4,4.75,1.65,3.3,4.4,1.667,3.25,4.5,1.62,3.4,5,1.61,3.4,5,1.66,3.3,4.5,1.75,1.95,1.65,1.98,-0.5,,,,,,
SC0,21/02/04,Motherwell,Kilmarnock,1,0,H,1,0,H,D McDonald,10,4,5,2,15,18,3,4,0,3,0,0,1.833,3.25,3.75,2,3.25,3.3,2,3.1,3.2,1.909,3.25,3.4,2,3.25,3.25,2,3.25,3.25,2.2,3.2,2.8,1.85,1.85,2,1.64,-0.5,,,,,,
SC0,21/02/04,Rangers,Hibernian,3,0,H,1,0,H,H Dallas,6,7,4,2,16,14,3,2,2,1,0,0,1.167,6,11,1.17,6,12,1.22,4.8,9.5,1.167,5.5,12,1.2,5,12,1.2,5,12,1.16,5.5,12,1.5,2.35,,,,,,,,,
SC0,22/02/04,Partick,Celtic,1,4,A,0,2,A,K Clark,8,9,4,6,12,12,4,7,1,1,0,0,17,6.5,1.143,13,6.5,1.13,13,6.5,1.12,13,6,1.143,13,6,1.14,13,6,1.14,15,6,1.12,1.45,2.5,,,,,,,,,
SC0,24/02/04,Livingston,Hearts,2,3,A,1,1,D,I Fyfe,5,14,2,7,20,25,5,8,3,4,0,0,2.75,3.25,2.25,2.85,3.25,2.2,2.7,3,2.3,2.6,3.2,2.38,2.88,3.2,2.2,2.88,3.2,2.2,3.2,3.2,2,,,1.77,2.1,0.25,,,,,,
SC0,24/02/04,Motherwell,Aberdeen,1,0,H,0,0,D,C Murray,7,9,3,4,12,11,5,0,0,1,0,0,2,3.25,3.25,2.1,3.2,3.1,2.2,3,2.9,2,3.2,3.2,,,,2,3.25,3.25,2.2,3.25,2.75,,,1.95,1.9,-0.25,,,,,,
SC0,28/02/04,Dunfermline,Hearts,0,0,D,0,0,D,K Clark,11,8,5,2,17,20,6,3,2,1,0,0,2.5,3.2,2.5,2.5,3.2,2.5,2.5,3,2.5,2.4,3.25,2.5,2.5,3.2,2.5,2.5,3.2,2.5,2.6,3.1,2.4,1.9,1.79,1.9,1.95,0,,,,,,
SC0,28/02/04,Hibernian,Aberdeen,0,1,A,0,1,A,I Brines,8,8,3,5,14,15,5,1,2,0,0,0,1.909,3.25,3.5,1.9,3.25,3.6,2,3.1,3.2,2,3.2,3.2,2,3.25,3.25,2,3.25,3.25,2.2,3.2,2.8,1.85,1.85,1.9,1.71,-0.5,,,,,,
SC0,28/02/04,Kilmarnock,Dundee,4,2,H,2,1,H,H Dallas,17,9,10,6,12,13,4,3,0,2,0,0,2.25,3.25,2.75,2.3,3.25,2.7,2.3,3,2.7,2.25,3.2,2.75,2.25,3.25,2.75,2.25,3.25,2.75,2.3,3.1,2.75,1.85,1.85,2,1.85,-0.25,,,,,,
SC0,28/02/04,Motherwell,Partick,3,0,H,1,0,H,C Thomson,13,8,11,2,20,13,3,8,1,2,0,0,1.615,3.4,5,1.62,3.4,5,1.65,3.3,4.4,1.667,3.4,4.333,1.62,3.4,5,1.61,3.4,5,1.66,3.3,4.5,1.75,1.95,1.85,2,-0.75,,,,,,
SC0,29/02/04,Celtic,Livingston,5,1,H,2,1,H,S Dougal,9,5,5,3,12,16,6,2,2,3,0,0,1.071,7.5,19,1.06,8,23,1.1,7,15,1.083,7,17,1.07,7.5,21,1.07,7.5,21,1.05,8,21,1.4,2.65,,,,,,,,,
SC0,29/02/04,Dundee United,Rangers,2,0,H,2,0,H,J Underhill,7,10,4,6,6,18,1,5,0,1,0,0,9,5,1.3,8.5,4.5,1.3,7,4,1.35,8,4.5,1.286,8.5,4.5,1.29,8.5,4.5,1.28,8,4.33,1.3,1.71,2,1.85,2,1.5,,,,,,
SC0,07/03/04,Kilmarnock,Hearts,1,1,D,0,0,D,M McCurry,8,12,5,5,19,15,5,9,1,1,0,0,2.8,3.25,2.2,2.9,3.2,2.2,2.9,3,2.2,2.75,3.25,2.2,2.88,3.2,2.2,2.87,3.2,2.2,3,3.2,2.1,1.79,1.9,1.9,1.95,0.25,,,,,,
SC0,09/03/04,Aberdeen,Partick,0,0,D,0,0,D,J Rowbotham,15,3,7,0,4,13,10,0,0,1,0,0,1.615,3.4,5,1.55,3.75,5,1.55,3.5,4.8,1.571,3.5,5,1.57,3.5,5,1.57,3.6,5,1.53,4,4.5,1.71,2,1.55,2.14,-0.5,,,,,,
SC0,13/03/04,Dundee,Aberdeen,1,1,D,1,0,H,S Dougal,9,21,6,16,10,10,8,8,0,1,0,0,2.1,3.25,3,2.2,3.2,2.9,2.2,3,2.9,2.2,3.25,2.75,2.1,3.25,3,2.1,3.25,3,2.2,3.2,2.8,1.65,2.05,2,1.85,-0.25,,,,,,
SC0,13/03/04,Hearts,Rangers,0,0,D,0,0,D,K Clark,10,8,7,3,15,11,6,6,1,2,0,0,5.5,3.4,1.571,5.3,3.5,1.57,4.6,3.4,1.6,4.333,3.4,1.667,5.5,3.4,1.57,5.5,3.4,1.57,5,3.5,1.57,1.6,2.15,2.11,1.57,0.5,,,,,,
SC0,13/03/04,Partick,Dundee United,1,1,D,0,0,D,H Dallas,16,8,8,3,7,16,8,2,2,1,0,0,3.25,3.25,2,3,3.2,2.15,2.9,3,2.2,3,3.2,2.1,3,3.25,2.1,3,3.25,2.1,2.8,3.4,2.1,2,1.71,1.55,2.15,0.5,,,,,,
SC0,14/03/04,Celtic,Motherwell,1,1,D,0,1,A,T Brown,19,6,7,4,11,14,8,4,1,0,0,0,1.071,7.5,19,1.07,7.5,21,1.1,7,15,1.1,6.5,17,1.09,7,17,1.1,6.5,21,1.07,7,21,,,,,,,,,,,
SC0,17/03/04,Dundee,Celtic,1,2,A,0,1,A,W Young,9,11,6,8,9,13,9,3,2,0,0,0,13,5.5,1.22,11,5.35,1.2,9.5,4.7,1.22,12,5.5,1.17,9.5,4.75,1.25,9,5,1.25,11,5,1.2,1.6,2.15,3.6,1.2,0.5,,,,,,
SC0,20/03/04,Dundee United,Kilmarnock,4,1,H,4,0,H,C Murray,9,9,7,9,12,15,7,1,0,3,0,0,1.909,3.4,3.6,1.95,3.3,3.4,2,3.1,3.2,1.8,3.4,3.6,2,3.25,3.25,2,3.25,3.25,2,3.2,3.2,1.79,1.9,1.95,1.67,-0.5,,,,,,
SC0,20/03/04,Dunfermline,Partick,1,0,H,1,0,H,W Young,12,8,2,4,14,6,3,9,0,0,0,0,1.533,3.6,6,1.5,3.6,6,1.5,3.7,5,1.444,3.75,6,1.53,3.6,5.5,1.53,3.6,5.5,1.44,3.6,6.5,1.79,1.9,1.9,1.95,-1,,,,,,
SC0,20/03/04,Rangers,Dundee,4,0,H,1,0,H,A Freeland,28,3,16,1,6,14,8,2,0,1,0,0,1.167,6,13,1.2,5.5,10.5,1.22,4.8,9.5,1.2,5,11,1.22,5,10,1.22,5,10,1.16,6,10,1.65,2.05,1.2,3.61,-0.5,,,,,,
SC0,21/03/04,Aberdeen,Livingston,1,2,A,0,1,A,M McCurry,12,5,4,3,11,15,9,2,0,0,0,0,2,3.5,3.2,2.05,3.35,3.1,2.2,3,2.9,2,3.4,3,2.1,3.25,3,2.1,3.25,3,2.1,3.2,3,1.85,1.85,1.8,2.05,-0.25,,,,,,
SC0,21/03/04,Hibernian,Celtic,0,4,A,0,2,A,D McDonald,11,10,7,9,9,12,11,3,4,2,1,0,10,5,1.286,8,4.6,1.3,7,4,1.35,10,5,1.222,8.5,4.5,1.29,8.5,4.5,1.28,8,4.33,1.3,1.55,2.25,2.92,1.3,0.5,,,,,,
SC0,23/03/04,Rangers,Dunfermline,4,1,H,4,1,H,D McDonald,19,4,14,3,14,13,13,2,2,2,0,0,1.22,5.5,10,1.22,5.5,10,1.22,4.7,9.5,1.22,5,10,1.22,5,10,1.22,5,10,1.2,5,11,,,1.2,3.58,-0.5,,,,,,
SC0,24/03/04,Hibernian,Motherwell,3,3,D,2,0,H,A Freeland,7,4,2,2,13,12,4,5,4,4,0,0,2.3,3.25,2.7,2.3,3.25,2.7,2.2,3,2.9,2.38,3.2,2.6,2.38,3.2,2.62,2.38,3.2,2.62,2.37,3.1,2.62,1.95,1.75,2.35,1.46,-0.5,,,,,,
SC0,24/03/04,Livingston,Dundee United,2,3,A,1,1,D,C Richmond,10,13,6,9,14,14,9,2,1,2,0,0,2.25,3.4,2.75,2.25,3.4,2.75,2.3,3,2.7,2.2,3.25,2.75,2.25,3.25,2.75,2.25,3.25,2.75,2.3,3.2,2.62,1.85,1.85,2.3,1.48,-0.5,,,,,,
SC0,27/03/04,Dundee United,Motherwell,1,0,H,0,0,D,S Dougal,8,16,6,10,19,14,3,11,2,2,0,0,2.1,3.25,3.2,2.1,3.2,3.1,2.1,3,3.1,2.1,3.2,3,2.1,3.25,3,2.1,3.25,3,2.1,3.2,3,1.95,1.75,1.9,1.95,-0.25,,,,,,
SC0,27/03/04,Hearts,Dundee,3,1,H,0,1,A,H Dallas,11,5,8,2,18,17,2,4,1,3,0,0,1.571,3.6,5.5,1.56,3.45,5.5,1.6,3.4,4.6,1.571,3.5,5,1.57,3.6,5,1.57,3.6,5,1.57,3.5,5,1.79,1.9,1.95,1.9,-1,,,,,,
SC0,27/03/04,Kilmarnock,Aberdeen,3,1,H,2,1,H,J Underhill,15,6,9,5,10,10,6,3,1,0,0,0,2.2,3.4,2.875,2.25,3.2,2.85,2.2,3,2.9,2.2,3.2,2.8,2.2,3.2,2.88,2.2,3.2,2.87,2.2,3.2,2.8,1.85,1.85,2,1.85,-0.25,,,,,,
