E0,19/10/2002,Man City,Chelsea,0,3,A,0,0,D,D Gallagher,11,8,8,6,11,10,3,7,1,2,0,0,2.6,3.2,2.4,2.81,3.15,2.45,2.5,3,2.5,2.6,3.2,2.38,2.75,3.25,2.25,2.6,3.2,2.5,2.62,3.1,2.37,1.75,1.88
E0,19/10/2002,Sunderland,West Ham,0,1,A,0,1,A,G Barber,7,7,2,1,16,17,9,4,1,1,0,0,2,3.25,3.25,2.15,3.25,3.25,1.9,3.1,3.5,2.1,3.2,3,2.2,3.2,2.88,2.1,3.2,3.25,2.2,3.1,2.87,1.95,1.82
E0,19/10/2002,West Brom,Birmingham,1,1,D,0,0,D,G Poll,18,7,7,1,15,12,12,2,3,2,0,1,2.375,3,2.75,2.4,3.1,2.8,2.3,3,2.7,2.25,3.2,2.75,2.25,3.25,2.75,2.3,3.25,2.8,2.25,3.2,2.75,2,1.8
E0,20/10/2002,Charlton,Middlesboro,1,0,H,1,0,H,N Barry,14,9,7,5,11,19,5,4,1,3,0,0,2.8,3.2,2.25,2.96,3.3,2.25,2.5,3,2.5,2.6,3.2,2.38,2.75,3.25,2.25,2.8,3.2,2.3,2.75,3.2,2.25,1.93,1.7
E0,20/10/2002,Tottenham,Bolton,3,1,H,0,0,D,P Durkin,6,5,3,1,8,11,7,3,0,1,0,0,1.533,3.5,5.5,1.58,3.5,5.4,1.6,3.4,4.6,1.5,3.4,6,1.62,3.4,5,1.571,3.4,6,1.57,3.3,5.5,1.7,1.93
E0,21/10/2002,Aston Villa,Southampton,0,1,A,0,0,D,S Bennett,18,13,11,7,13,11,7,4,3,1,1,0,1.727,3.25,4.333,1.85,3.36,4.25,1.85,3.1,3.6,1.8,3.2,4,1.8,3.25,4,1.8,3.25,4.333,1.8,3.1,4,2.1,1.7
E0,23/10/2002,Fulham,West Ham,0,1,A,0,0,D,R Styles,6,6,2,4,18,11,7,6,2,3,1,0,1.8,3.25,4,1.9,3.25,4,1.9,3.1,3.5,1.8,3.25,3.75,1.8,3.25,4,1.909,3.25,3.75,1.8,3.1,4,1.9,1.85
E0,26/10/2002,Arsenal,Blackburn,1,2,A,1,1,D,G Barber,19,3,9,2,11,14,15,3,1,3,0,1,1.3,4.5,8,1.39,4.2,7.3,1.45,3.8,5.4,1.29,4.5,8,1.36,3.75,8.5,1.333,4.5,8,1.28,4.5,8,1.65,2.11
E0,26/10/2002,Birmingham,Man City,0,2,A,0,1,A,S Bennett,9,8,4,4,10,16,6,1,2,2,0,0,2.1,3.25,3,2.21,3.25,3.02,2.2,3,2.9,2,3.4,3,2.1,3.25,3,2.2,3.25,2.9,2.1,3.2,3,1.85,1.85
E0,26/10/2002,Chelsea,West Brom,2,0,H,1,0,H,S Dunn,10,7,5,5,6,7,5,5,0,1,0,0,1.4,3.75,7.5,1.39,4.15,8.1,1.4,3.9,6,1.4,3.75,7,1.4,3.6,8,1.333,4.2,8.5,1.33,4,8,1.7,2
E0,26/10/2002,Liverpool,Tottenham,2,1,H,0,0,D,M Riley,9,10,5,8,11,19,5,7,2,4,0,0,1.533,3.5,5.5,1.63,3.45,5.85,1.5,3.7,5,1.5,3.4,6,1.53,3.4,6,1.533,3.5,6,1.5,3.4,6,1.75,2
E0,26/10/2002,Man United,Aston Villa,1,1,D,0,1,A,G Poll,15,9,6,3,7,16,8,5,1,0,0,0,1.3,4.5,8,1.33,4.8,7.1,1.3,4.2,8,1.25,4.5,10,1.29,4.33,10,1.3,4.5,9,1.3,4.33,8,1.7,2.1
E0,26/10/2002,Middlesboro,Leeds,2,2,D,1,1,D,R Styles,16,7,7,7,17,17,11,2,3,2,1,1,2.2,3.25,2.8,2.42,3.25,2.65,2.2,3,2.9,2.2,3.2,2.8,2.25,3.25,2.75,2.25,3.25,2.75,2.2,3.2,2.8,1.93,1.85
E0,26/10/2002,Newcastle,Charlton,2,1,H,1,1,D,A D'Urso,16,6,12,5,12,14,14,5,2,1,0,0,1.533,3.5,5.5,1.62,3.5,6,1.55,3.5,4.8,1.53,3.5,5.5,1.44,3.6,6.5,1.533,3.5,6,1.5,3.4,6,1.75,1.95
E0,27/10/2002,Southampton,Fulham,4,2,H,2,2,D,M Halsey,13,5,8,4,12,19,3,5,1,2,0,0,2.375,3.2,2.625,2.35,3.2,2.85,2.2,3,2.9,2.25,3.2,2.75,2.2,3.2,2.88,2.3,3.2,2.8,2.3,3.1,2.75,2.05,1.79
E0,27/10/2002,West Ham,Everton,0,1,A,0,0,D,A Wiley,16,10,9,5,12,12,5,3,0,0,0,0,2,3.25,3.25,2.08,3.3,3.31,1.85,3.1,3.6,1.91,3.25,3.4,1.91,3.4,3.4,1.909,3.4,3.4,2.1,3.2,3,1.8,1.87
E0,28/10/2002,Bolton,Sunderland,1,1,D,0,1,A,E Wolstenholme,14,8,7,4,12,9,5,2,1,2,0,0,2.1,3.25,3,2.26,3.1,3,2.1,3,3.1,2.1,3.2,3,2.2,3.2,2.88,2.1,3.4,3,2.2,3.1,2.87,2.02,1.75
E0,02/11/2002,Birmingham,Bolton,3,1,H,0,0,D,C Foy,12,11,6,7,12,19,8,5,2,4,0,1,1.909,3.25,3.5,1.96,3.25,3.6,2.1,3,3.1,1.91,3.25,3.4,1.91,3.25,3.5,2,3.2,3.5,2,3.2,3.2,1.9,1.7
E0,02/11/2002,Liverpool,West Ham,2,0,H,1,0,H,E Wolstenholme,13,5,9,1,7,8,6,0,0,0,0,0,1.333,4.333,7.5,1.4,4.25,8,1.45,3.8,5.4,1.36,3.75,8,1.4,3.75,7.5,1.364,4.333,7.5,1.33,4,8,1.7,1.9
E0,02/11/2002,Man United,Southampton,2,1,H,1,1,D,U Rennie,16,12,8,5,12,18,10,2,0,1,0,0,1.333,4.333,7.5,1.36,4.25,8,1.3,4.2,8,1.33,4,8,1.29,4.5,8.5,1.333,4.333,8.5,1.33,4,8,1.65,1.95
E0,02/11/2002,West Brom,Man City,1,2,A,0,0,D,D Elleray,5,10,4,4,10,10,5,4,2,2,0,0,2.4,3.2,2.6,2.47,3.25,2.75,2.4,3,2.6,2.4,3.25,2.5,2.5,3.2,2.5,2.6,3.2,2.5,2.5,3.1,2.5,1.9,1.7
E0,03/11/2002,Blackburn,Aston Villa,0,0,D,0,0,D,M Dean,17,11,6,4,15,10,10,3,1,2,0,0,1.727,3.25,4.333,1.91,3.3,3.9,1.8,3.1,3.8,1.73,3.2,4.33,1.67,3.4,4.5,1.727,3.25,4.5,1.66,3.3,4.5,1.85,1.75
E0,03/11/2002,Charlton,Sunderland,1,1,D,0,1,A,D Gallagher,19,9,12,7,8,14,6,8,1,4,0,0,1.909,3.25,3.5,2.05,3.25,3.3,2.1,3,3.1,1.91,3.25,3.4,2,3.25,3.25,2.1,3.2,3.2,2,3.2,3.2,1.95,1.65
E0,03/11/2002,Fulham,Arsenal,0,1,A,0,1,A,J Winter,5,6,4,3,10,21,10,5,1,2,0,0,4.5,3.4,1.667,4.2,3.3,1.81,4,3.3,1.7,4,3.4,1.73,3.75,3.25,1.83,4.5,3.25,1.727,3.75,3.3,1.8,1.7,1.9
E0,03/11/2002,Leeds,Everton,0,1,A,0,0,D,N Barry,18,12,5,7,14,20,9,9,3,3,0,0,1.727,3.25,4.333,1.76,3.3,4.5,1.7,3.2,4.2,1.73,3.2,4.33,1.73,3.25,4.33,1.75,3.25,4.5,1.8,3.3,3.75,1.8,1.8
E0,03/11/2002,Tottenham,Chelsea,0,0,D,0,0,D,R Styles,15,14,7,4,17,12,8,2,3,2,0,0,2.3,3.2,2.7,2.45,3.25,2.6,2.5,3,2.5,2.2,3.25,2.75,2.5,3.2,2.5,2.5,3.2,2.6,2.37,3.1,2.62,1.75,1.85
E0,04/11/2002,Newcastle,Middlesboro,2,0,H,1,0,H,G Barber,18,12,13,9,16,7,7,5,2,2,0,1,2,3.25,3.25,1.9,3.3,3.7,1.9,3.1,3.5,1.83,3.2,3.75,2,3.25,3.25,2,3.2,3.4,1.9,3.2,3.5,1.92,1.82
E0,09/11/2002,Arsenal,Newcastle,1,0,H,1,0,H,M Dean,16,3,10,2,11,12,11,0,0,2,0,0,1.5,3.5,6,1.55,3.78,5.65,1.55,3.5,4.8,1.44,3.6,6.5,1.5,3.5,6,1.5,3.6,6.5,1.44,3.6,6.5,1.66,2.1
E0,09/11/2002,Aston Villa,Fulham,3,1,H,1,0,H,A D'Urso,9,8,7,4,12,10,4,6,3,2,0,0,2.2,3.25,2.8,2.25,3.32,3,2,3.1,3.2,2,3.2,3.2,2.2,3.25,2.8,2.2,3.25,3,2.1,3.1,3.1,2.05,1.67
E0,09/11/2002,Bolton,West Brom,1,1,D,0,1,A,M Riley,15,5,8,1,14,13,7,4,2,2,1,0,2,3.25,3.25,1.96,3.4,3.66,1.9,3.1,3.5,2.1,3,3.2,2,3.25,3.25,2,3.2,3.5,1.9,3.2,3.5,1.98,1.73
E0,09/11/2002,Chelsea,Birmingham,3,0,H,3,0,H,D Pugh,16,7,10,2,7,6,7,3,1,1,0,0,1.444,3.75,6.5,1.45,3.95,7.5,1.45,3.8,5.4,1.4,3.75,7,1.4,3.75,7.5,1.4,4,7.5,1.44,3.6,6.5,1.73,1.95
E0,09/11/2002,Everton,Charlton,1,0,H,1,0,H,R Styles,11,5,2,1,14,13,7,3,2,3,0,0,1.667,3.4,4.5,1.74,3.42,4.47,1.8,3.1,3.8,1.57,3.5,5,1.57,3.4,5.5,1.667,3.4,4.75,1.66,3.3,4.5,1.9,1.78
E0,09/11/2002,Man City,Man United,3,1,H,2,1,H,P Durkin,11,9,6,6,12,16,0,9,1,2,0,0,3.5,3.25,1.909,4.23,3.55,1.92,3.6,3.1,1.85,3.75,3.2,1.83,3.75,3.25,1.83,4.2,3.25,1.8,3.75,3.2,1.83,1.8,2.06
E0,09/11/2002,Middlesboro,Liverpool,1,0,H,0,0,D,M Halsey,11,13,3,7,10,8,5,2,1,0,0,0,3.25,3.25,2,3.3,3.26,2.23,2.9,3,2.2,3.4,3,2,3,3.25,2.1,3.2,3.25,2.1,3,3.2,2.1,1.9,1.8
E0,09/11/2002,Southampton,Blackburn,1,1,D,1,0,H,A Wiley,21,11,12,3,13,13,5,4,0,2,0,1,2.25,3.25,2.75,2.38,3.3,2.9,2.3,3,2.7,2.25,3.2,2.75,2.25,3.25,2.75,2.375,3.25,2.75,2.3,3.1,2.7,2,1.76
E0,10/11/2002,Sunderland,Tottenham,2,0,H,0,0,D,U Rennie,13,9,5,3,10,18,4,5,0,2,0,0,2.7,3.2,2.3,2.67,3.34,2.54,2.4,3,2.6,2.8,3.2,2.2,2.62,3.2,2.38,2.75,3.25,2.375,2.8,3.1,2.25,1.9,1.78,,
E0,10/11/2002,West Ham,Leeds,3,4,A,1,4,A,S Dunn,19,12,9,8,14,11,5,4,5,3,0,0,2.375,3.2,2.625,2.6,3.34,2.64,2.3,3,2.7,2.4,3.25,2.5,2.5,3.2,2.5,2.5,3.25,2.6,2.5,3.1,2.5,1.9,1.84,,
E0,16/11/2002,Arsenal,Tottenham,3,0,H,1,0,H,M Riley,17,6,12,5,15,10,3,1,0,2,0,1,1.533,3.5,5.5,1.55,3.6,6.25,1.6,3.4,4.6,1.57,3.5,5,1.53,3.5,5.5,1.533,3.6,6,1.53,3.25,6,1.65,1.95,1.72,2
E0,16/11/2002,Chelsea,Middlesboro,1,0,H,0,0,D,P Dowd,13,7,5,4,9,11,5,7,2,1,0,0,1.727,3.2,4.5,1.77,3.35,4.6,1.7,3.2,4.2,1.62,3.5,4.5,1.67,3.4,4.5,1.7,3.4,4.75,1.72,3.25,4.2,1.8,1.8,1.8,1.9
E0,16/11/2002,Man City,Charlton,0,1,A,0,0,D,G Barber,15,13,4,4,10,16,7,5,0,4,0,0,1.667,3.4,4.5,1.75,3.45,4.5,1.8,3.1,3.8,1.73,3.2,4.33,1.62,3.4,5,1.7,3.4,4.75,1.61,3.3,5,1.8,1.85,1.83,1.83
E0,16/11/2002,Newcastle,Southampton,2,1,H,1,1,D,C Wilkes,18,8,13,3,7,18,6,2,1,3,0,0,1.615,3.4,5,1.66,3.5,5.2,1.55,3.5,4.8,1.62,3.25,5,1.67,3.4,4.5,1.571,3.4,6,1.57,3.5,5,1.75,1.85,1.72,2
E0,16/11/2002,West Brom,Aston Villa,0,0,D,0,0,D,D Gallagher,10,8,5,5,15,15,8,6,2,3,0,0,2.625,3,2.5,2.55,3.2,2.5,2.7,3,2.3,2.75,3,2.38,2.6,3,2.5,2.625,3.2,2.5,2.62,2.9,2.5,1.95,1.65,2.2,1.61
E0,17/11/2002,Birmingham,Fulham,0,0,D,0,0,D,M Messias,11,4,6,1,17,15,9,1,2,1,0,2,2.3,3.2,2.7,2.3,3.3,2.75,2.2,3,2.9,2.2,3.25,2.75,2.38,3.2,2.63,2.375,3.2,2.75,2.25,3.1,2.8,1.8,1.8,2,1.72
E0,17/11/2002,Blackburn,Everton,0,1,A,0,1,A,G Poll,16,9,6,6,10,19,12,4,3,1,0,0,2.1,3.25,3,2.2,3.3,3.1,1.9,3.1,3.5,2.1,3.2,3,2.1,3.25,3,2.1,3.25,3.2,2.1,3.2,3,1.75,1.85,1.9,1.8
E0,17/11/2002,Leeds,Bolton,2,4,A,1,1,D,A Wiley,12,14,3,7,19,9,2,4,2,0,0,0,1.5,3.5,6,1.5,3.75,6.75,1.5,3.7,5,1.57,3.5,5,1.57,3.4,5.5,1.533,3.6,6,1.57,3.3,5.5,1.75,1.85,1.83,1.83
E0,17/11/2002,Liverpool,Sunderland,0,0,D,0,0,D,A D'Urso,27,0,12,0,6,10,12,0,0,1,0,0,1.364,4,7.5,1.44,4,7.75,1.4,3.9,6,1.33,4,8,1.4,3.75,7.5,1.364,4,9,1.33,4,8,1.8,1.8,1.9,1.8
E0,17/11/2002,West Ham,Man United,1,1,D,0,1,A,M Halsey,3,11,1,4,13,14,10,6,1,1,0,0,4,3.25,1.8,4.5,3.4,1.7,3.8,3.1,1.8,4.33,3.4,1.67,4.33,3.25,1.73,4.5,3.4,1.727,4.33,3.2,1.72,1.6,1.9,1.8,1.9
E0,23/11/2002,Aston Villa,West Ham,4,1,H,1,0,H,C Foy,23,15,11,8,11,15,6,4,3,2,0,0,1.8,3.25,4,1.96,3.33,3.79,1.9,3.1,3.5,1.8,3.2,4,1.83,3.25,3.75,1.85,3.25,3.75,1.83,3.2,3.75,1.9,1.8,2.1,1.66
E0,23/11/2002,Bolton,Chelsea,1,1,D,0,0,D,M Dean,15,15,8,11,4,9,9,10,2,4,0,1,3.5,3.25,1.909,3.51,3.25,2.02,2.9,3,2.2,3.75,3.2,1.83,3.5,3.25,1.91,3.5,3.25,1.909,3.4,3.25,1.9,1.8,1.8,1.9,1.8
E0,23/11/2002,Everton,West Brom,1,0,H,1,0,H,J Winter,17,13,9,8,14,11,10,6,2,2,0,0,1.444,3.6,7,1.6,3.53,5.7,1.6,3.4,4.6,1.5,3.4,6,1.5,3.5,6,1.5,3.5,6,1.44,3.5,7,1.89,1.75,2,1.72
E0,23/11/2002,Fulham,Liverpool,3,2,H,2,0,H,G Poll,11,14,10,11,14,9,1,8,1,0,1,0,3.75,3.25,1.833,3.4,3.3,2,3.5,3.1,1.9,3.75,3.2,1.83,3.5,3.25,1.91,3.5,3.25,1.909,3.5,3.2,1.9,1.95,1.7,1.9,1.8
E0,23/11/2002,Man United,Newcastle,5,3,H,3,1,H,S Dunn,11,10,9,7,14,9,6,1,2,2,0,0,1.615,3.4,5,1.67,3.53,5.4,1.6,3.4,4.6,1.62,3.25,5,1.62,3.4,5,1.615,3.4,5,1.66,3.3,4.5,1.67,2,1.72,2
E0,23/11/2002,Middlesboro,Man City,3,1,H,0,0,D,N Barry,18,9,7,5,5,12,6,6,0,3,0,1,1.727,3.25,4.333,1.83,3.37,3.95,1.8,3.1,3.8,1.67,3.4,4.33,1.73,3.4,4,1.75,3.4,4,1.72,3.4,4,1.9,1.92,2,1.72
E0,23/11/2002,Southampton,Arsenal,3,2,H,1,1,D,P Durkin,8,7,3,2,12,16,3,8,1,2,0,1,4.333,3.25,1.727,4.25,3.43,1.83,3.8,3.1,1.8,4.33,3.4,1.67,4.5,3.4,1.67,4.5,3.25,1.7,4.5,3.3,1.66,1.75,1.9,1.8,1.9
E0,23/11/2002,Sunderland,Birmingham,0,1,A,0,0,D,R Styles,7,11,2,9,18,17,5,7,3,3,0,0,1.909,3.25,3.5,1.9,3.3,3.7,1.85,3.1,3.6,1.83,3.2,3.75,1.91,3.25,3.5,1.909,3.25,3.5,1.9,3.2,3.5,2.05,1.7,2.2,1.61
E0,24/11/2002,Charlton,Blackburn,3,1,H,0,0,D,U Rennie,13,12,9,7,16,17,5,7,2,0,0,0,2.4,3.2,2.6,2.45,3.3,2.6,2.3,3,2.7,2.4,3.25,2.5,2.38,3.2,2.63,2.4,3.2,2.6,2.37,3.1,2.62,1.9,1.7,2,1.72
E0,24/11/2002,Tottenham,Leeds,2,0,H,2,0,H,S Bennett,11,8,6,4,18,16,3,1,3,7,0,0,2.1,3.25,3,2.12,3.41,3.1,2.2,3,2.9,2,3.2,3.2,2.1,3.25,3,2.1,3.25,3,2,3.2,3.2,1.75,1.85,1.83,1.83
E0,30/11/2002,Arsenal,Aston Villa,3,1,H,1,0,H,G Barber,13,12,7,5,11,20,6,9,2,3,0,0,1.333,4,9,1.35,4.32,8,1.4,3.9,6,1.4,3.75,7,1.36,3.75,8.5,1.364,3.75,8.5,1.28,4.5,8,1.76,1.95,1.8,1.9
E0,30/11/2002,Birmingham,Tottenham,1,1,D,0,0,D,E Wolstenholme,13,7,6,3,19,16,1,2,1,0,0,0,2.6,3.2,2.4,2.7,3.38,2.44,2.5,3,2.5,2.6,3.2,2.38,2.63,3.2,2.38,2.6,3.2,2.4,2.6,3.1,2.4,1.92,1.76,2,1.72
E0,30/11/2002,Blackburn,Fulham,2,1,H,1,0,H,P Dowd,8,9,4,7,19,16,6,6,1,2,0,0,2,3.25,3.25,2,3.28,3.44,2,3.1,3.2,1.91,3.2,3.5,2,3.25,3.25,2,3.25,3.25,2,3.2,3.2,1.88,1.86,1.9,1.8
E0,30/11/2002,Chelsea,Sunderland,3,0,H,0,0,D,S Bennett,15,1,11,0,7,12,9,5,0,3,0,0,1.4,3.75,7.5,1.44,4.03,8,1.45,3.6,5.8,1.4,3.75,7,1.36,4,7.5,1.4,3.75,7.5,1.4,3.6,7.5,1.88,1.81,1.83,1.83
E0,30/11/2002,Man City,Bolton,2,0,H,1,0,H,J Winter,13,3,10,3,10,10,11,2,0,2,0,0,1.8,3.25,4,1.88,3.35,3.92,1.9,3.1,3.5,1.73,3.5,3.75,1.8,3.4,3.75,1.8,3.25,4,1.8,3.3,3.75,1.89,1.86,1.83,1.83
E0,30/11/2002,West Brom,Middlesboro,1,0,H,0,0,D,P Durkin,16,11,8,2,13,8,5,9,0,1,0,0,2.7,3.2,2.3,3,3.33,2.35,2.7,3,2.3,3,3.2,2.1,2.88,3.2,2.2,2.8,3.2,2.25,3,3,2.2,2,1.7,2.1,1.66
E0,01/12/2002,Leeds,Charlton,1,2,A,1,0,H,A D'Urso,18,14,6,10,14,15,5,11,1,1,0,0,1.8,3.25,4,1.75,3.31,4.5,1.75,3.2,4,1.8,3.25,3.75,1.73,3.25,4.33,1.727,3.25,4.333,1.9,3.25,3.4,1.8,1.8,1.9,1.8
E0,01/12/2002,Liverpool,Man United,1,2,A,0,0,D,A Wiley,13,5,7,4,13,11,5,2,1,4,0,0,2.3,3.2,2.7,2.3,3.27,2.8,2.1,3,3.1,2.38,3.2,2.6,2.3,3.2,2.75,2.3,3.2,2.75,2.25,3.1,2.8,1.75,1.85,1.72,2
E0,01/12/2002,Newcastle,Everton,2,1,H,0,1,A,M Halsey,24,7,15,5,13,18,11,2,0,1,0,1,1.909,3.25,3.5,1.96,3.27,3.75,1.8,3.1,3.8,2.1,3.2,3,1.8,3.4,3.75,1.833,3.3,3.75,1.9,3.25,3.4,1.8,1.8,1.8,1.9
E0,02/12/2002,West Ham,Southampton,0,1,A,0,0,D,M Riley,14,9,7,3,10,11,6,1,1,1,0,0,2.25,3.25,2.75,2.2,3.25,3.11,,,,2.2,3.25,2.75,2.2,3.2,2.88,2.2,3.2,2.875,2.25,3.2,2.75,1.85,1.75,2,1.72
E0,07/12/2002,Aston Villa,Newcastle,0,1,A,0,0,D,S Bennett,12,11,4,5,9,10,6,5,2,0,0,0,2.375,3.2,2.625,2.35,3.35,2.75,2.2,3,2.9,2.25,3.2,2.75,2.3,3.2,2.75,2.3,3.2,2.75,2.3,3.2,2.62,1.8,1.8,1.9,1.8
E0,07/12/2002,Bolton,Blackburn,1,1,D,1,0,H,N Barry,18,13,7,7,16,10,3,11,2,2,0,0,2.6,3.2,2.4,2.52,3.25,2.52,2.4,3,2.6,2.75,3.2,2.25,2.5,3.2,2.5,2.5,3.2,2.5,2.5,3.1,2.5,1.85,1.75,1.83,1.83
E0,07/12/2002,Charlton,Liverpool,2,0,H,1,0,H,M Riley,14,17,11,7,14,12,4,5,3,3,0,0,3.5,3.25,1.909,4,3.4,1.85,3.6,3.1,1.85,3.2,3.2,2,3.6,3.2,1.91,3.6,3.2,1.909,3.75,3.2,1.83,1.75,1.85,1.9,1.8
E0,07/12/2002,Everton,Chelsea,1,3,A,1,2,A,E Wolstenholme,14,13,6,10,13,17,9,4,1,6,1,0,2.5,3.2,2.5,2.55,3.35,2.6,2.4,3,2.6,2.38,3.2,2.6,2.4,3.2,2.6,2.5,3.2,2.5,2.37,3.1,2.62,1.85,1.75,1.83,1.83
E0,07/12/2002,Fulham,Leeds,1,0,H,1,0,H,P Durkin,10,6,3,4,10,14,9,1,3,4,0,0,2.1,3.25,3,2.18,3.28,2.95,2.1,3,3.1,1.91,3.25,3.4,2.1,3.25,3,2.1,3.25,3,2,3.3,3.1,1.8,1.8,1.9,1.8
E0,07/12/2002,Man United,Arsenal,2,0,H,1,0,H,D Gallagher,8,12,6,5,16,12,6,7,1,2,0,0,2.25,3.25,2.75,2.36,3.32,2.82,2.2,3,2.9,2.2,3.25,2.75,2.25,3.25,2.75,2.375,3.2,2.75,2.25,3.2,2.75,1.79,1.9,1.72,2
E0,07/12/2002,Middlesboro,West Ham,2,2,D,0,0,D,G Poll,12,14,5,8,13,13,5,7,1,1,0,0,1.615,3.4,5,1.65,3.4,5,1.7,3.2,4.2,1.57,3.25,5.5,1.67,3.2,5,1.667,3.2,5,1.61,3.3,5,1.85,1.75,1.9,1.8
E0,07/12/2002,Southampton,Birmingham,2,0,H,0,0,D,J Winter,13,6,8,2,7,6,6,9,0,2,0,0,1.727,3.5,4,1.8,3.3,4.05,1.8,3.1,3.8,1.73,3.4,4,1.8,3.25,4,1.75,3.25,4.2,1.83,3.2,3.75,1.85,1.75,2.1,1.66
E0,08/12/2002,Tottenham,West Brom,3,1,H,2,0,H,A Wiley,10,13,6,7,16,10,4,3,2,1,0,0,1.444,3.6,7,1.48,3.7,6.6,1.5,3.7,5,1.44,3.6,6.5,1.44,3.6,7,1.444,3.6,7,1.4,3.6,7.5,1.75,1.85,1.9,1.8
E0,09/12/2002,Sunderland,Man City,0,3,A,0,1,A,S Dunn,8,11,6,7,11,12,10,5,0,2,0,0,2.3,3.2,2.7,2.3,3.19,2.85,2.2,3,2.9,2.5,3.2,2.5,2.25,3.25,2.75,2.3,3.2,2.75,2.25,3.2,2.75,1.9,1.71,2.1,1.66
E0,14/12/2002,Aston Villa,West Brom,2,1,H,1,1,D,M Dean,23,13,12,3,20,14,8,2,3,1,1,0,1.8,3.25,4,1.68,3.3,4.82,1.7,3.2,4.2,1.57,3.25,5.5,1.67,3.2,5,1.667,3.2,5,1.66,3.3,4.5,1.95,1.7,2.1,1.66
E0,14/12/2002,Charlton,Man City,2,2,D,0,0,D,D Pugh,12,14,5,9,12,12,5,3,2,1,0,0,2.1,3.25,3,2.2,3.25,3.15,2.1,3,3.1,2,3.4,3,2.1,3.25,3,2.1,3.25,3,2.1,3.3,2.87,1.8,1.8,1.9,1.8
E0,14/12/2002,Everton,Blackburn,2,1,H,2,1,H,G Barber,12,17,7,9,14,16,5,10,1,2,0,1,1.833,3.25,3.75,1.95,3.25,3.5,2.1,3,3.1,1.83,3.2,3.75,2,3.25,3.25,2,3.25,3.25,1.9,3.2,3.5,1.9,1.7,1.83,1.83
E0,14/12/2002,Man United,West Ham,3,0,H,2,0,H,R Styles,14,10,10,3,12,11,7,4,0,1,0,0,1.286,4.5,9,1.32,5,12,1.3,4.2,8,1.22,5,10,1.25,5,8.5,1.286,4.5,9,1.25,5,8,1.6,2.07,1.66,2.1
E0,14/12/2002,Middlesboro,Chelsea,1,1,D,1,1,D,M Messias,9,16,6,11,9,14,5,8,0,1,0,0,2.625,3.2,2.375,2.55,3.35,2.52,2.5,3,2.5,2.75,3.2,2.25,2.63,3.2,2.38,2.7,3.1,2.375,2.5,3.1,2.5,1.85,1.75,1.9,1.8
E0,14/12/2002,Southampton,Newcastle,1,1,D,0,0,D,P Dowd,16,17,9,11,12,11,8,8,0,0,0,0,2.3,3.2,2.7,2.35,3.25,2.7,2.1,3,3.1,2.2,3.25,2.75,2.25,3.25,2.75,2.375,3.2,2.625,2.3,3.1,2.75,1.8,1.8,1.8,1.9
E0,15/12/2002,Fulham,Birmingham,0,1,A,0,1,A,A D'Urso,7,2,0,1,11,22,7,1,3,7,0,1,1.8,3.25,4,1.82,3.3,3.95,1.8,3.1,3.8,1.67,3.4,4.33,1.8,3.25,4,1.8,3.25,4,1.72,3.4,4,1.85,1.75,2,1.72
E0,15/12/2002,Sunderland,Liverpool,2,1,H,1,0,H,M Halsey,7,11,3,4,12,7,9,10,0,2,0,0,4.333,3.25,1.727,4.5,3.4,1.71,4,3.2,1.75,4.5,3.25,1.67,4.33,3.25,1.73,4.333,3.25,1.727,4.2,3.25,1.72,1.8,1.8,2,1.72
E0,15/12/2002,Tottenham,Arsenal,1,1,D,1,1,D,N Barry,14,6,10,4,14,11,5,6,3,2,0,0,3,3.1,2.2,3.2,3.1,2.15,2.9,3,2.2,3.4,3.25,1.91,2.88,3.2,2.2,3.1,3.1,2.1,3,3,2.2,1.8,1.8,1.72,2
E0,16/12/2002,Bolton,Leeds,0,3,A,0,2,A,G Poll,17,9,9,7,9,14,5,3,1,3,0,0,2.4,3.2,2.6,2.5,3.3,2.5,2.4,2.9,2.7,2.5,3.2,2.5,2.5,3.2,2.5,2.5,3.2,2.5,2.25,3.2,2.75,1.8,1.8,1.9,1.8
E0,21/12/2002,Arsenal,Middlesboro,2,0,H,1,0,H,S Dunn,26,3,14,1,8,14,13,3,1,3,0,1,1.4,3.75,7.5,1.4,4.25,7.25,1.35,4,7,1.4,3.75,7,1.4,3.75,7.5,1.4,3.75,7.5,1.36,3.75,8,1.7,1.9,1.72,2
E0,21/12/2002,Birmingham,Charlton,1,1,D,0,1,A,R Styles,8,8,5,5,15,21,5,5,4,4,1,0,2.2,3.25,2.8,2.22,3.2,3.04,2.2,3,2.9,2.2,3.25,2.75,2.2,3.2,2.88,2.2,3.2,2.875,2.1,3.2,3,1.95,1.65,2.1,1.66
E0,21/12/2002,Chelsea,Aston Villa,2,0,H,1,0,H,M Riley,16,12,8,4,9,18,6,4,0,3,0,0,1.5,3.5,6,1.55,4.01,6.25,1.55,3.5,4.8,1.5,3.4,6,1.5,3.5,6,1.5,3.4,6.5,1.5,3.4,6,1.8,1.83,1.8,1.9
E0,21/12/2002,Leeds,Southampton,1,1,D,0,0,D,C Foy,19,10,11,4,15,14,7,4,0,1,0,0,1.909,3.25,3.5,1.95,3.35,3.68,1.85,3.2,3.5,1.91,3.4,3.25,2,3.25,3.25,1.909,3.25,3.5,1.83,3.4,3.5,1.85,1.78,1.9,1.8
