Div,Date,HT,AT,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,,,,,,,
G1,02/03/03,Panathinaikos,Panahaiki,2,0,H,2,0,H,1.05,8.75,18,1.05,8,16,1.05,8,21,,,,,,,,,,,,
G1,02/03/03,PAOK,Akratitos,1,1,D,0,0,D,1.15,6.2,12,1.1,6.5,13,1.083,7.5,15,,,,,,,,,,,,
G1,02/03/03,Proodeftiki,Olympiakos,1,3,A,0,1,A,8.1,4.45,1.3,7.5,3.8,1.3,8,4.333,1.3,,,,1.7,1.9,,,,,,,
G1,08/03/03,Panahaiki,Xanthi,0,2,A,0,2,A,3.15,3.15,2.05,2.9,2.9,2.1,3,3.2,2.1,,,,1.9,1.7,,,,,,,
G1,09/03/03,Akratitos,Proodeftiki,2,1,H,0,0,D,2.45,3.1,2.55,2.3,2.9,2.5,2.375,3.1,2.625,,,,1.8,1.8,,,,,,,
G1,09/03/03,Egaleo,Giannina,2,1,H,2,1,H,1.7,3.2,4.5,1.65,3.1,4,,,,,,,1.85,1.75,,,,,,,
G1,09/03/03,Kalithea,Aris,0,2,A,0,0,D,2.7,3.1,2.3,2.7,2.9,2.2,2.7,3.1,2.3,,,,1.9,1.7,,,,,,,
G1,09/03/03,Olympiakos,AEK,1,2,A,0,1,A,1.85,3.3,3.75,1.75,3.1,3.6,1.85,3.25,3.6,1.7,3.35,4,1.65,1.95,,,,,,,
G1,09/03/03,Panionios,Panathinaikos,0,0,D,0,0,D,4.5,3.3,1.66,4.5,3.3,1.55,4.333,3.4,1.667,5.7,3.4,1.5,1.8,1.8,,,,,,,
G1,09/03/03,PAOK,Iraklis,0,1,A,0,1,A,1.6,3.4,4.75,1.6,3.2,4.2,1.571,3.4,5.25,1.6,3.4,4.6,1.65,1.95,,,,,,,
G1,15/03/03,Kalithea,Panahaiki,3,1,H,1,1,D,1.42,3.85,6,1.5,3.4,4.7,1.44,3.6,6.5,,,,1.85,1.75,,,,,,,
G1,15/03/03,Xanthi,Panionios,0,1,A,0,1,A,2.3,3.2,2.65,2.2,2.9,2.7,2.3,3.1,2.75,2.3,2.95,2.75,1.95,1.65,,,,,,,
G1,16/03/03,AEK,Akratitos,6,2,H,2,2,D,1.16,5.75,11,1.15,5.5,11,1.1,7,13,,,,1.45,2.35,,,,,,,
G1,16/03/03,Aris,OFI,1,1,D,1,1,D,1.58,3.4,5,1.5,3.4,4.7,1.57,3.5,5,1.6,3.2,5,1.9,1.7,,,,,,,
G1,16/03/03,Ionikos,Olympiakos,0,2,A,0,1,A,7.75,3.9,1.35,6.2,3.8,1.35,8,4.33,1.3,,,,1.6,2.05,,,,,,,
G1,16/03/03,Iraklis,Giannina,3,0,H,0,0,D,1.35,4.35,6.5,1.3,4,7,1.33,4,8,,,,1.7,1.9,,,,,,,
G1,16/03/03,Panathinaikos,Egaleo,3,0,H,1,0,H,1.16,5.75,11,1.15,5.5,11,1.12,6,15,,,,1.6,2.05,,,,,,,
G1,16/03/03,Proodeftiki,PAOK,0,3,A,0,0,D,3.8,3.25,1.8,3.6,3.1,1.75,3.6,3.25,1.85,,,,1.85,1.75,,,,,,,
G1,22/03/03,Akratitos,Ionikos,1,0,H,0,0,D,2.2,3.1,2.8,2.2,2.9,2.7,2.25,3.1,2.8,,,,1.9,1.7,,,,,,,
G1,22/03/03,PAOK,AEK,0,1,A,0,0,D,2.25,3.1,2.7,2.3,2.9,2.5,2.3,3.1,2.7,2.3,3,2.7,1.7,1.9,,,,,,,
G1,23/03/03,Egaleo,Xanthi,0,0,D,0,0,D,2.2,3.1,2.8,2.2,2.9,2.7,2.2,3.1,2.875,,,,1.9,1.7,,,,,,,
G1,23/03/03,Olympiakos,Aris,1,0,H,0,0,D,1.25,4.5,9,1.25,4.3,8,1.25,4.75,8.5,1.3,4.4,7,1.55,2.15,,,,,,,
G1,23/03/03,Panahaiki,OFI,0,2,A,0,1,A,3.85,3.3,1.75,,,,,,,,,,1.85,1.75,,,,,,,
G1,23/03/03,Panionios,Kalithea,2,0,H,1,0,H,1.35,3.85,7.5,1.35,3.5,6.5,1.333,4.2,7.5,,,,1.8,1.8,,,,,,,
G1,23/03/03,Proodeftiki,Iraklis,1,0,H,1,0,H,3.1,3.1,2.05,,,,2.875,3.1,2.2,,,,1.9,1.7,,,,,,,
G1,23/03/03,Giannina,Panathinaikos,0,0,D,0,0,D,8.25,4.1,1.3,7,4,1.3,7,4,1.364,,,,1.8,1.8,,,,,,,
G1,29/03/03,OFI,Ionikos,2,1,H,1,1,D,,,,,,,,,,,,,,,,,,,,,
G1,05/04/03,AEK,Proodeftiki,4,1,H,0,1,A,1.1,6.5,13.5,1.1,6.5,13,1.143,6,12,,,,1.55,2.05,,,,,,,
G1,05/04/03,Aris,Akratitos,4,1,H,3,1,H,1.47,3.75,5.25,1.45,3.3,5.5,1.444,3.75,6,,,,1.75,1.85,,,,,,,
G1,05/04/03,Ionikos,PAOK,4,0,H,1,0,H,3.65,3.25,1.8,3.7,3,1.75,3.75,3.2,1.833,,,,1.8,1.8,,,,,,,
G1,06/04/03,Iraklis,Panathinaikos,0,3,A,0,0,D,3.3,3.2,1.9,3.1,3,1.9,3.6,3.25,1.85,3.3,3.1,1.95,1.9,1.7,,,,,,,
G1,06/04/03,Kalithea,Egaleo,2,1,H,2,1,H,,,,1.85,3,3.3,,,,,,,,,,,,,,,
G1,06/04/03,OFI,Panionios,1,1,D,1,1,D,,,,2.2,2.9,2.7,2.25,3.1,2.8,2.25,2.9,2.85,,,,,,,,,
G1,06/04/03,Panahaiki,Olympiakos,1,4,A,1,0,H,,,,16,8,1.05,,,,,,,,,,,,,,,
G1,06/04/03,Xanthi,Giannina,3,3,D,2,0,H,1.65,3.3,4.3,,,,1.8,3.1,4,,,,1.85,1.75,,,,,,,
G1,12/04/03,Akratitos,Panahaiki,3,0,H,1,0,H,,,,,,,,,,,,,,,,,,,,,
G1,12/04/03,Proodeftiki,Ionikos,0,0,D,0,0,D,2,3.2,3,1.9,2.8,3.3,,,,,,,1.95,1.65,,,,,,,
G1,12/04/03,Giannina,Kalithea,1,0,H,0,0,D,,,,,,,,,,,,,,,,,,,,,
G1,13/04/03,AEK,Iraklis,6,1,H,2,0,H,1.33,4,7,1.25,4.3,8,1.2,5,10,1.3,4.25,7.5,1.65,1.95,,,,,,,
G1,13/04/03,Egaleo,OFI,0,4,A,0,2,A,2.3,2.9,2.75,2.3,2.9,2.5,2.3,3,2.75,,,,1.9,1.7,,,,,,,
G1,13/04/03,Panathinaikos,Xanthi,1,0,H,0,0,D,1.15,5.5,11,1.15,5.5,11,1.143,6,11,1.15,6,10,,,,,,,,,
G1,13/04/03,Panionios,Olympiakos,0,0,D,0,0,D,4.15,3.4,1.65,4,3.1,1.65,5,3.4,1.571,4.1,3.25,1.7,1.8,1.8,,,,,,,
G1,13/04/03,PAOK,Aris,2,0,H,0,0,D,1.9,3.15,3.35,2,2.9,3,2,3.1,3.2,1.85,3.15,3.5,1.9,1.7,,,,,,,
G1,19/04/03,Aris,Proodeftiki,2,1,H,0,0,D,1.3,4.45,8.7,1.45,3.5,5,1.3,4,8,,,,,,,,,,,,
G1,19/04/03,Iraklis,Xanthi,2,0,H,0,0,D,1.5,3.6,6,1.55,3.3,4.5,1.533,3.4,5,1.55,3.5,4.75,1.8,1.8,,,,,,,
G1,20/04/03,Ionikos,AEK,0,3,A,0,1,A,7.75,3.9,1.38,5.5,3.6,1.4,6.5,3.6,1.4,,,,1.7,1.9,,,,,,,
G1,20/04/03,Kalithea,Panathinaikos,1,3,A,0,0,D,9.5,4.5,1.28,8,3.6,1.3,8.5,4.333,1.25,,,,1.65,1.95,,,,,,,
G1,20/04/03,OFI,Giannina,1,0,H,0,0,D,,,,,,,,,,,,,,,,,,,,,
G1,20/04/03,Olympiakos,Egaleo,4,0,H,3,0,H,1.05,8,22,1.05,8,16,,,,,,,,,,,,,,,
G1,20/04/03,Panahaiki,PAOK,2,2,D,0,0,D,,,,,,,,,,,,,,,,,,,,,
G1,20/04/03,Panionios,Akratitos,1,1,D,0,1,A,1.45,3.5,6.65,1.45,3.5,5,,,,,,,1.85,1.75,,,,,,,
G1,03/05/03,AEK,Aris,4,0,H,3,0,H,1.25,5,8.5,1.15,6,7.2,1.167,5.5,11,1.25,4.8,7.5,1.65,1.95,,,,,,,
G1,03/05/03,PAOK,Panionios,3,0,H,1,0,H,1.75,3.2,4.25,1.85,3,3.3,1.75,3.3,3.8,1.95,3.1,3.3,1.85,1.75,,,,,,,
G1,04/05/03,Egaleo,Akratitos,3,1,H,2,1,H,2.15,2.8,3.35,,,,,,,,,,,,,,,,,,
G1,04/05/03,Ionikos,Iraklis,2,4,A,1,2,A,2.45,3.25,2.45,,,,2.4,3.25,2.5,,,,,,,,,,,,
G1,04/05/03,Panathinaikos,OFI,5,1,H,2,0,H,1.08,7,14,1.05,7,13,,,,1.1,7,12,,,,,,,,,
G1,04/05/03,Proodeftiki,Panahaiki,1,0,H,0,0,D,,,,,,,,,,,,,,,,,,,,,
G1,04/05/03,Xanthi,Kalithea,3,0,H,1,0,H,1.85,3.4,3.5,,,,,,,,,,,,,,,,,,
G1,04/05/03,Giannina,Olympiakos,0,3,A,0,2,A,14,6.5,1.12,10,6,1.1,,,,,,,,,,,,,,,
G1,10/05/03,OFI,Xanthi,2,0,H,1,0,H,1.8,3.2,3.85,,,,1.8,3.25,3.75,1.8,3.15,3.75,,,,,,,,,
G1,10/05/03,Panionios,Proodeftiki,2,0,H,0,0,D,1.35,4,7.25,,,,1.25,4.5,9,,,,,,,,,,,,
G1,11/05/03,Akratitos,Giannina,3,0,H,0,0,D,,,,,,,,,,,,,,,,,,,,,
G1,11/05/03,Aris,Ionikos,2,0,H,0,0,D,,,,,,,1.333,4,7.5,,,,,,,,,,,,
G1,11/05/03,Egaleo,PAOK,2,3,A,0,1,A,,,,,,,,,,,,,,,,,,,,,
G1,11/05/03,Iraklis,Kalithea,2,1,H,0,1,A,,,,1.3,4,7,1.333,4,7.5,,,,,,,,,,,,
G1,11/05/03,Olympiakos,Panathinaikos,3,0,H,2,0,H,2.15,3,3.15,2.2,2.9,3,2.25,3,3,2.25,2.85,2.9,1.9,1.7,,,,,,,
G1,11/05/03,Panahaiki,AEK,0,2,A,0,0,D,,,,10,6,1.1,,,,,,,,,,,,,,,
G1,24/05/03,Aris,Iraklis,2,1,H,0,0,D,2.2,3,3,2.2,3.1,2.5,2.1,3.2,3,,,,,,,,,,,,
G1,24/05/03,Proodeftiki,Egaleo,1,1,D,1,1,D,2.15,3,3.1,,,,2.1,3.1,3.1,,,,,,,,,,,,
G1,25/05/03,AEK,Panionios,4,2,H,3,2,H,1.25,4.8,9,1.3,4.4,5.6,1.3,4.5,7.5,,,,,,,,,,,,
G1,25/05/03,Ionikos,Panahaiki,3,0,H,0,0,D,,,,,,,,,,,,,,,,,,,,,
G1,25/05/03,Kalithea,OFI,2,0,H,2,0,H,1.2,5,10,,,,,,,,,,,,,,,,,,
G1,25/05/03,Panathinaikos,Akratitos,3,1,H,2,1,H,1.05,9,18,1.05,9,9,1.04,8,26,,,,,,,,,,,,
G1,25/05/03,Xanthi,Olympiakos,1,5,A,1,3,A,19,9,1.03,9,9,1.05,17,8.5,1.05,,,,,,,,,,,,
G1,25/05/03,Giannina,PAOK,3,2,H,1,2,A,,,,,,,,,,,,,,,,,,,,,
