Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
N1,22/10/06,AZ Alkmaar,PSV Eindhoven,1,3,A,0,3,A,2.55,3,2.55,2.6,3.1,2.5,2.6,3,2.5,2.5,3,2.5,2.37,3.2,2.6,2.6,3.2,2.5,2.4,3.25,2.5,2.5,3.25,2.5,2.4,3.2,2.5,36,2.65,2.54,3.25,3.14,2.6,2.52,21,1.75,1.66,2.25,2.05,11,0,1.98,1.89,1.92,1.85
N1,22/10/06,Feyenoord,Ajax,0,4,A,0,2,A,2.75,3.2,2.3,2.5,3.2,2.5,2.6,3.2,2.4,2.6,3,2.4,2.5,3.2,2.5,2.6,3.2,2.5,2.62,3.2,2.3,2.62,3.1,2.5,2.6,3.25,2.3,36,2.9,2.64,3.3,3.19,2.65,2.42,21,1.75,1.64,2.22,2.07,11,0,2.16,1.96,1.9,1.78
N1,22/10/06,Heerenveen,Groningen,4,2,H,1,0,H,1.9,3.25,3.5,2,3.2,3.3,2.1,3.25,3,2.2,3,2.9,2.1,3.2,3,2.2,3.2,3,2,3.4,3,2,3.25,3.25,2.1,3.25,2.9,35,2.2,2.07,3.35,3.23,3.5,3.17,20,1.75,1.72,2.05,1.96,12,0,1.65,1.52,2.65,2.29
N1,22/10/06,Nijmegen,Vitesse,1,0,H,0,0,D,2.2,3.25,2.87,2.05,3.25,3.2,2,3.25,3.25,2.25,3.1,2.7,2.2,3.25,2.75,2.1,3.2,3.2,2.25,3.4,2.6,2.1,3.25,3,2.2,3.25,2.75,36,2.3,2.15,3.3,3.21,3.3,3.01,20,1.9,1.76,2.05,1.93,12,0,1.65,1.57,2.35,2.17
N1,22/10/06,Utrecht,Den Haag,2,0,H,2,0,H,1.45,3.75,6.5,1.5,3.7,5.7,1.55,3.75,5,1.45,3.8,5.4,1.44,3.6,6.5,1.5,3.75,6,1.5,3.8,5.2,1.5,3.6,6,1.45,4,5.5,36,1.55,1.49,4,3.68,7.5,6.03,20,1.65,1.6,2.3,2.13,12,-1,1.86,1.82,2.03,1.98
N1,25/10/06,Ajax,Den Haag,2,0,H,2,0,H,1.12,7,15,1.12,7,15,1.12,6.5,15,1.12,6.5,13,1.12,6,15,1.14,6.2,15,1.14,5.5,15,1.14,5.5,17,1.14,6,12,37,1.15,1.13,8.82,6.58,26.1,14.93,21,1.4,1.35,3.01,2.78,10,-2,1.71,1.69,2.3,2.22
N1,25/10/06,Groningen,Excelsior,2,1,H,1,1,D,1.4,4,6.5,1.4,4,6.5,1.43,3.8,6.5,1.5,3.7,5,1.4,3.75,7,1.45,3.75,7,1.4,3.75,7,1.36,4,8,1.5,3.5,6,36,1.5,1.44,4.3,3.8,8.25,6.65,23,1.6,1.57,2.25,2.16,13,-1,1.8,1.7,2.23,2.12
N1,25/10/06,Heracles,Waalwijk,1,1,D,1,1,D,2,3.2,3.2,2,3.2,3.2,1.95,3.25,3.4,1.9,3.2,3.4,1.83,3.25,3.6,2,3.4,3.25,2,3.4,3,1.91,3.4,3.4,1.9,3.25,3.4,36,2.03,1.96,3.42,3.27,4,3.43,23,1.75,1.71,2,1.95,13,-0.5,2.13,2.09,1.81,1.78
N1,25/10/06,Nijmegen,Roda JC,0,0,D,0,0,D,2.37,3.2,2.6,2.37,3.2,2.6,2.35,3.25,2.6,2.3,3.1,2.6,2.4,3.25,2.5,2.35,3.3,2.65,2.4,3.4,2.4,2.38,3.4,2.5,2.3,3.25,2.65,36,2.45,2.36,3.4,3.25,2.8,2.64,23,1.9,1.79,1.95,1.87,12,0,1.88,1.79,2.05,1.98
N1,25/10/06,PSV Eindhoven,Sparta,7,0,H,4,0,H,1.14,6.5,13,1.14,6.5,13,1.12,6.5,15,1.12,6.5,13,1.12,6,15,1.13,6.5,15,1.14,5.5,15,1.12,6,21,1.14,6,12,36,1.14,1.12,8.82,6.68,27,15.4,22,1.5,1.38,2.92,2.7,10,-2,1.73,1.69,2.3,2.21
N1,26/10/06,Feyenoord,Twente,2,1,H,0,1,A,1.72,3.5,4,1.72,3.5,4,1.67,3.4,4.5,1.65,3.3,4.4,1.72,3.4,4,1.73,3.6,4.1,1.7,3.4,4.2,1.83,3.4,3.75,1.73,3.5,4,32,1.91,1.76,3.5,3.37,4.9,4.16,21,1.67,1.6,2.25,2.11,12,0,2.15,2.15,1.7,1.7
N1,26/10/06,NAC Breda,Utrecht,2,1,H,1,0,H,2.37,3.25,2.6,2.37,3.25,2.6,2.35,3.25,2.6,2.2,3.1,2.8,2.25,3.2,2.75,2.45,3.3,2.55,2.3,3.4,2.5,2.5,3.25,2.5,2.3,3.25,2.65,35,2.48,2.36,3.5,3.25,2.8,2.65,23,1.75,1.7,2.05,1.96,12,0,1.89,1.79,2.04,1.98
N1,26/10/06,Willem II,AZ Alkmaar,0,4,A,0,1,A,5.5,3.5,1.53,5.5,3.5,1.53,5.5,3.6,1.53,5,3.7,1.5,5.5,3.6,1.5,5.1,3.7,1.57,5,3.5,1.57,7,4,1.4,5.5,3.6,1.53,36,6.3,5.66,3.85,3.6,1.65,1.53,23,1.65,1.58,2.38,2.16,13,1,2.13,2.01,1.85,1.79
N1,28/10/06,Den Haag,Heracles,2,0,H,0,0,D,2.15,3.2,3,2.3,3.2,2.75,2.35,3.2,2.65,2.4,3.1,2.5,2.25,3.2,2.75,2.38,3.2,2.7,2.3,3.3,2.6,2.38,3.4,2.5,2.25,3.2,2.75,34,2.4,2.3,3.46,3.24,3,2.73,25,1.8,1.73,2,1.91,11,-0.25,2.02,1.98,1.95,1.91
N1,28/10/06,Excelsior,Vitesse,2,2,D,0,2,A,2.55,3.2,2.45,2.25,3.2,2.8,2.25,3.2,2.75,2.2,3.1,2.8,2.25,3.2,2.75,2.3,3.2,2.8,2.3,3.3,2.6,2.38,3.2,2.62,2.2,3.4,2.65,34,2.6,2.37,3.4,3.22,2.85,2.65,25,1.75,1.62,2.25,2.08,11,0,2.02,1.8,2,1.92
N1,28/10/06,Heerenveen,Ajax,0,2,A,0,1,A,3.6,3.4,1.83,3.75,3.25,1.85,3.75,3.25,1.85,3.8,3.1,1.8,4,3.4,1.72,3.75,3.25,1.9,3.8,3.5,1.72,3.4,3.4,1.91,4.35,3.4,1.65,34,4.2,3.8,3.78,3.32,1.95,1.83,25,1.65,1.54,2.4,2.19,11,0.5,2,1.93,1.94,1.9
N1,28/10/06,Waalwijk,PSV Eindhoven,0,3,A,0,0,D,7,4,1.36,7,3.6,1.45,6,3.75,1.45,6,3.9,1.4,7,3.75,1.4,6.5,3.6,1.5,5.5,3.6,1.5,7,3.75,1.44,6,3.75,1.45,34,8.7,6.71,4.5,3.86,1.5,1.42,25,1.6,1.5,2.45,2.29,11,1.25,2.04,2,1.92,1.9
N1,29/10/06,AZ Alkmaar,Utrecht,5,1,H,1,0,H,1.4,4,6.5,1.4,4,6.75,1.4,3.9,7,1.37,4,7,1.44,3.75,6,1.44,3.75,7,1.44,3.75,6,1.44,3.75,7,1.45,3.75,6,34,1.45,1.4,4.68,3.94,8.7,7.09,24,1.5,1.43,2.85,2.45,10,-1.25,1.95,1.91,2.02,1.97
N1,29/10/06,NAC Breda,Groningen,0,0,D,0,0,D,2.7,3.25,2.3,2.5,3.2,2.5,2.5,3.2,2.5,2.45,3.1,2.45,2.4,3.25,2.5,2.55,3.2,2.5,2.75,3.2,2.25,2.62,3.4,2.25,2.35,3.25,2.5,33,2.8,2.54,3.4,3.21,2.6,2.46,24,1.72,1.64,2.15,2.02,10,0,2.06,1.93,1.89,1.83
N1,29/10/06,Roda JC,Feyenoord,1,2,A,1,1,D,2.3,3.25,2.7,2.5,3.2,2.5,2.45,3.25,2.5,2.45,3.1,2.45,2.37,3.2,2.6,2.4,3.3,2.6,2.3,3.3,2.6,2.25,3.4,2.62,2.4,3.4,2.4,34,2.55,2.41,3.3,3.22,2.85,2.6,24,1.75,1.64,2.1,2.04,10,0,1.85,1.78,2.09,1.98
N1,29/10/06,Sparta,Willem II,1,0,H,0,0,D,2.25,3.25,2.75,2.4,3.2,2.6,2.35,3.25,2.6,2.4,3.1,2.5,2.4,3.25,2.5,2.4,3.3,2.6,2.35,3.25,2.55,2.38,3.4,2.5,2.25,3.4,2.6,34,2.45,2.37,3.4,3.22,2.9,2.64,24,1.85,1.71,2,1.93,10,0,1.75,1.7,2.1,1.94
N1,29/10/06,Twente,Nijmegen,4,0,H,3,0,H,1.57,3.5,5.25,1.6,3.5,5,1.6,3.5,4.8,1.65,3.3,4.4,1.61,3.25,5,1.6,3.6,5,1.55,3.6,5,1.67,3.5,4.5,1.6,3.5,4.5,34,1.68,1.6,3.69,3.51,5.7,4.98,24,1.72,1.63,2.15,2.05,10,-0.75,1.82,1.81,2.1,2.08
N1,03/11/06,Nijmegen,Willem II,1,2,A,1,1,D,1.65,3.4,4.75,1.7,3.4,4.3,1.7,3.4,4.25,1.7,3.3,4,1.67,3.4,4.33,1.73,3.4,4.33,1.66,3.6,4,1.53,3.75,5.5,1.6,3.4,5,40,1.7,1.65,3.8,3.46,5.5,4.77,29,1.96,1.81,2.05,1.93,16,-0.75,2,1.91,2.05,1.97
N1,04/11/06,Den Haag,Excelsior,2,2,D,1,1,D,1.9,3.2,3.6,1.95,3.3,3.45,1.95,3.25,3.5,2.1,3.1,3,2,3.2,3.2,2,3.2,3.5,2,3.4,3,2,3.4,3.2,2,3.25,3.25,38,2.1,1.97,3.4,3.26,3.8,3.38,24,1.8,1.72,2.1,1.97,14,0,1.6,1.46,2.7,2.46
N1,04/11/06,Groningen,Roda JC,2,1,H,0,0,D,1.85,3.25,3.6,1.95,3.3,3.4,1.9,3.25,3.6,1.9,3.2,3.4,1.8,3.25,3.75,2,3.25,3.4,1.83,3.4,3.5,1.91,3.4,3.4,1.9,3.2,3.5,39,2,1.9,3.4,3.27,4.15,3.57,26,1.67,1.64,2.1,2.08,16,-0.5,2.04,1.98,1.91,1.89
N1,04/11/06,PSV Eindhoven,NAC Breda,3,0,H,2,0,H,1.12,6,17,1.2,5,13,1.2,5.25,11,1.2,5,10,1.2,5,11,1.18,6,11,1.2,5,11,1.12,6.5,17,1.14,5.5,15,38,1.22,1.18,6,5.44,17,12.57,26,1.5,1.4,2.75,2.59,12,-2,1.82,1.8,2.12,2.06
N1,05/11/06,Feyenoord,Vitesse,2,1,H,1,0,H,1.5,4,4.5,1.4,4,6.75,1.4,4,6.5,1.4,3.9,6,1.4,4,6.5,1.4,4,7.25,1.36,4,7,1.44,3.6,7,1.45,3.75,6.5,37,1.5,1.42,4.3,3.95,8,6.65,25,1.63,1.57,2.35,2.2,15,-1,1.98,1.94,1.97,1.91
N1,05/11/06,Heerenveen,Sparta,2,0,H,1,0,H,1.33,4.2,7.5,1.35,4.25,7.5,1.36,4,7.5,1.33,4,7.5,1.33,4,8,1.36,4,8.5,1.4,3.75,7,1.36,4,7.5,1.33,4,8.5,37,1.4,1.35,4.5,4.15,8.7,7.61,26,1.57,1.49,2.5,2.36,14,-1.25,1.83,1.81,2.12,2.07
N1,05/11/06,Heracles,Ajax,0,3,A,0,1,A,10,4.33,1.33,6.35,3.75,1.45,7.5,3.75,1.4,6,3.9,1.4,6,3.75,1.44,7.5,4,1.4,6,3.75,1.44,8,4,1.36,9.5,4,1.3,35,10,7.57,4.6,3.9,1.45,1.39,26,1.57,1.51,2.4,2.31,15,1.5,2.04,1.97,1.94,1.88
N1,05/11/06,Utrecht,Twente,0,0,D,0,0,D,2.3,3.25,2.7,2.2,3.2,2.9,2.2,3.25,2.8,2.3,3.1,2.6,2.25,3.2,2.75,2.25,3.25,2.85,2.25,3.4,2.6,2.2,3.4,2.75,2.25,3.25,2.7,34,2.4,2.27,3.4,3.23,2.95,2.78,24,1.73,1.63,2.25,2.1,14,-0.25,2.13,2.06,1.85,1.82
N1,05/11/06,Waalwijk,AZ Alkmaar,0,2,A,0,2,A,7.5,4.2,1.33,6.85,4,1.4,5.5,3.75,1.5,5.4,3.8,1.45,7,3.75,1.4,6.5,3.9,1.45,7,3.75,1.4,7,4,1.4,7,4.1,1.35,36,8.3,6.86,4.2,3.88,1.52,1.41,26,1.51,1.49,2.55,2.36,15,1.25,2.08,2.05,1.86,1.84
N1,10/11/06,NAC Breda,Heerenveen,1,1,D,0,1,A,2.55,3.2,2.45,2.4,3.2,2.6,2.4,3.2,2.6,2.3,3.2,2.6,2.2,3.25,2.75,2.4,3.2,2.7,2.25,3.3,2.62,2.38,3.4,2.5,2.3,3.3,2.6,46,2.7,2.41,3.4,3.23,2.75,2.6,30,1.81,1.71,2.1,1.99,17,0,2.05,1.91,1.9,1.86
N1,11/11/06,AZ Alkmaar,Heracles,5,0,H,2,0,H,1.2,5,11,1.2,5,13,1.18,5.5,11,1.17,5.5,11,1.2,5,11,1.2,5.75,11,1.16,5.5,12,1.17,5.5,15,1.18,5.5,11,45,1.21,1.17,6.5,5.65,18,12.23,32,1.45,1.41,2.75,2.58,15,-1.75,1.71,1.69,2.3,2.21
N1,11/11/06,Excelsior,Nijmegen,1,1,D,0,0,D,2.3,3.25,2.62,2.15,3.25,2.95,2.2,3.2,2.9,2.3,3,2.7,2.1,3.2,3,2.25,3.2,2.88,2.1,3.4,2.8,2.2,3.2,2.88,2.3,3.3,2.6,44,2.38,2.21,3.4,3.24,3.05,2.86,31,1.75,1.69,2.1,2,18,-0.25,2.2,2.13,1.8,1.75
N1,11/11/06,Roda JC,Waalwijk,1,1,D,1,0,H,1.5,3.5,6,1.5,3.5,6.25,1.5,3.6,5.75,1.5,3.7,5,1.44,3.75,6,1.53,3.5,6,1.53,3.6,5,1.44,3.75,6.5,1.53,3.75,5,45,1.57,1.51,3.75,3.58,7,5.89,31,1.68,1.62,2.25,2.11,18,-1,1.98,1.93,1.94,1.89
N1,12/11/06,Ajax,PSV Eindhoven,0,1,A,0,0,D,2.15,3.2,3,2.35,3.1,2.75,2.3,3.2,2.75,2.3,3,2.7,2.2,3.2,2.8,2.25,3.2,2.88,2.25,3.2,2.75,2.25,3.2,2.88,2.2,3.25,2.8,45,2.4,2.28,3.4,3.22,3,2.8,31,1.73,1.68,2.1,2.01,17,0,1.7,1.65,2.15,2.05
N1,12/11/06,Sparta,Den Haag,2,1,H,1,0,H,2.15,3.25,2.87,2.2,3.2,2.9,2.2,3.2,2.9,2.2,3.1,2.8,2.2,3.25,2.75,2.1,3.2,3.2,2.05,3.4,2.9,2.1,3.25,3,2.1,3.4,2.9,44,2.3,2.18,3.4,3.24,3.1,2.91,32,2.03,1.85,1.96,1.87,17,-0.25,2.02,1.97,1.92,1.9
N1,12/11/06,Twente,Groningen,7,1,H,2,1,H,1.9,3.25,3.5,2,3.3,3.25,2,3.25,3.25,2.1,3.1,3,2,3.2,3.2,2.1,3.2,3.2,1.9,3.4,3.3,2,3.2,3.4,2,3.3,3.2,43,2.1,2.01,3.4,3.26,3.6,3.3,30,1.67,1.64,2.2,2.09,17,-0.25,1.78,1.75,2.23,2.14
N1,12/11/06,Vitesse,Utrecht,4,2,H,2,0,H,2.05,3.25,3.1,2.25,3.2,2.8,2.2,3.2,2.9,2.1,3.1,3,2.2,3.25,2.75,2.2,3.2,3,2.15,3.4,2.75,2,3.4,3.2,2.1,3.4,2.8,44,2.28,2.17,3.4,3.24,3.2,2.95,31,1.7,1.65,2.15,2.06,17,-0.25,1.92,1.89,2.04,1.98
N1,12/11/06,Willem II,Feyenoord,3,5,A,0,2,A,4.75,3.3,1.65,4.3,3.4,1.7,4.25,3.4,1.72,4.4,3.5,1.6,4,3.4,1.72,4,3.4,1.8,4.2,3.5,1.66,3.6,3.4,1.83,4.35,3.5,1.65,44,5,4.34,3.6,3.41,1.83,1.71,31,1.65,1.58,2.35,2.19,16,0.75,1.94,1.91,2,1.96
N1,17/11/06,Heracles,NAC Breda,2,0,H,1,0,H,2.4,3.1,2.7,2.35,3.3,2.6,2.35,3.2,2.7,2.3,3.2,2.5,2.37,3.2,2.6,2.38,3.25,2.7,2.25,3.4,2.6,2.38,3.2,2.62,2.4,3.3,2.5,44,2.5,2.35,3.5,3.23,2.8,2.67,31,1.98,1.82,2,1.92,17,0,1.88,1.81,2.07,1.99
N1,18/11/06,Feyenoord,AZ Alkmaar,3,2,H,1,1,D,3,3.1,2.15,2.9,3.2,2.2,2.75,3.2,2.3,2.4,3.2,2.4,2.6,3.1,2.4,2.7,3.2,2.38,2.62,3.1,2.37,3,3.4,2.1,2.5,3.3,2.4,39,3,2.66,3.4,3.22,2.55,2.35,25,1.7,1.57,2.4,2.21,15,0,2.18,2.07,1.8,1.73
N1,18/11/06,Nijmegen,Sparta,1,2,A,0,1,A,1.55,3.6,5.25,1.65,3.5,4.5,1.65,3.5,4.5,1.65,3.3,4.4,1.66,3.25,4.5,1.7,3.5,4.33,1.7,3.5,4,1.73,3.25,4.5,,,,41,1.73,1.64,3.6,3.44,5.5,4.75,28,1.9,1.78,2.05,1.95,14,-0.75,1.84,1.81,2.09,2.06
N1,18/11/06,PSV Eindhoven,Excelsior,4,0,H,2,0,H,1.14,6,13,1.15,6.25,12,1.13,6.5,14,1.1,7,15,1.11,6.5,15,1.14,6.25,15,1.11,6.5,15,1.1,7,17,1.1,6.5,17,37,1.14,1.11,8,6.76,20,15.83,20,1.42,1.39,2.75,2.62,10,-2.5,1.78,1.71,2.18,2.16
N1,18/11/06,Waalwijk,Heerenveen,0,2,A,0,2,A,2.7,3.1,2.3,2.55,3.3,2.4,2.6,3.25,2.4,2.5,3.2,2.3,2.62,3.4,2.25,2.7,3.25,2.35,2.4,3.4,2.4,2.5,3.2,2.5,2.5,3.4,2.3,40,2.8,2.6,3.4,3.23,2.55,2.38,26,1.8,1.7,2.1,2.01,15,0,2.13,2.02,1.84,1.77
N1,19/11/06,Ajax,Twente,1,1,D,0,1,A,1.36,3.8,8,1.35,4.5,6.8,1.37,4.2,7,1.37,3.9,7,1.4,3.75,7,1.36,4.2,7.5,1.36,4.2,6.5,1.36,4,7.5,1.3,4.5,7.5,41,1.4,1.36,4.8,4.08,8.5,7.37,29,1.65,1.53,2.5,2.29,14,-1.25,1.92,1.89,2.01,1.98
N1,19/11/06,Den Haag,Vitesse,0,3,A,0,1,A,2.8,3.1,2.25,2.5,3.2,2.5,2.5,3.2,2.5,2.4,3.2,2.4,2.75,3.25,2.2,2.5,3.3,2.5,2.5,3.4,2.3,2.5,3.4,2.38,2.5,3.3,2.4,41,2.8,2.55,3.4,3.22,2.6,2.44,28,1.72,1.68,2.2,2.03,14,0,2.12,2,1.82,1.78
N1,19/11/06,Groningen,Willem II,4,1,H,1,0,H,1.36,3.8,7,1.5,3.75,5.55,1.5,3.75,5.5,1.5,3.7,5,1.5,3.4,6,1.53,3.75,5.5,1.5,3.6,5.5,1.44,3.75,6.5,1.45,3.6,6.5,41,1.51,1.46,4,3.69,8,6.35,29,1.65,1.56,2.4,2.23,15,-1,1.8,1.72,2.22,2.12
N1,19/11/06,Utrecht,Roda JC,2,0,H,1,0,H,2.15,3.25,3,2.3,3.2,2.75,2.2,3.25,2.85,2.1,3.2,2.9,2.2,3.25,2.75,2.25,3.25,2.88,2.1,3.3,2.87,2.2,3.2,2.88,2.1,3.3,3,41,2.3,2.19,3.3,3.24,3.1,2.88,28,1.8,1.72,2.12,1.99,15,-0.25,2.05,1.99,1.91,1.88
N1,24/11/06,Twente,Vitesse,2,0,H,1,0,H,1.53,3.5,5.5,1.45,3.75,6.25,1.5,3.6,6,1.5,3.7,5,1.53,3.5,5.5,1.53,3.6,6,1.53,3.6,5,1.53,3.6,5.5,1.5,4,5,43,1.6,1.52,4.18,3.61,7.1,5.8,30,1.63,1.57,2.4,2.24,19,-1,2.04,1.95,1.96,1.88
N1,25/11/06,Excelsior,Heracles,6,1,H,2,1,H,2.2,3.1,2.9,2,3.3,3.25,2,3.25,3.25,2.1,3.1,3,2,3.2,3.2,2.1,3.2,3.2,1.9,3.5,3.2,2.1,3.25,3,2,3.4,3,40,2.25,2.08,3.4,3.24,3.5,3.14,29,1.98,1.84,2,1.9,18,-0.25,2.09,2.04,1.86,1.83
N1,25/11/06,PSV Eindhoven,Utrecht,5,0,H,3,0,H,1.16,6,11,1.2,5,13,1.18,5.5,12,1.15,6,12,1.2,5,11,1.14,6,17,1.2,5,11,1.17,6,13,1.15,5.5,11,40,1.2,1.17,7.5,5.75,18.55,12.38,28,1.5,1.42,2.75,2.58,14,-2,2.05,2,1.88,1.84
N1,25/11/06,Willem II,Waalwijk,3,1,H,2,0,H,2.05,3.2,3.1,1.95,3.3,3.4,1.9,3.25,3.5,1.9,3.1,3.5,1.8,3.25,3.75,1.91,3.2,3.75,1.85,3.5,3.3,1.91,3.25,3.6,1.9,3.3,3.3,41,2.15,1.98,3.4,3.25,3.6,3.38,28,1.8,1.66,2.15,2.06,18,0,1.52,1.47,2.55,2.42
N1,26/11/06,Groningen,Den Haag,2,5,A,2,2,D,1.36,4.33,7,1.35,4.25,7.5,1.33,4.25,7.5,1.35,4,7,1.25,4.6,9,1.33,4.5,8,1.3,4.5,7.5,1.3,4,10,1.33,4.35,7,39,1.36,1.34,4.5,4.26,10,7.81,28,1.55,1.5,2.63,2.36,17,-1.25,1.73,1.71,2.28,2.19
N1,26/11/06,Heerenveen,AZ Alkmaar,1,3,A,1,1,D,4,3.25,1.8,3.6,3.25,1.9,3.5,3.4,1.85,3.5,3.2,1.85,3.25,3.4,1.9,3.4,3.25,2,3.25,3.3,1.95,3.6,3.25,1.91,3.5,3.5,1.8,39,4,3.5,3.5,3.28,2,1.92,28,1.62,1.54,2.45,2.27,17,0.5,1.97,1.94,1.98,1.92
N1,26/11/06,Nijmegen,Feyenoord,4,1,H,0,0,D,4.2,3.4,1.72,4.5,3.5,1.65,4.25,3.25,1.75,4.4,3.3,1.65,4.5,3.25,1.66,4.33,3.4,1.73,4,3.4,1.72,4.33,3.4,1.73,3.75,3.6,1.73,39,4.85,4.26,3.6,3.37,1.8,1.73,29,1.62,1.56,2.38,2.23,17,0.75,1.84,1.81,2.09,2.06
N1,26/11/06,Roda JC,NAC Breda,3,2,H,0,1,A,1.7,3.5,4.2,1.8,3.3,3.9,1.75,3.25,4.25,1.8,3.2,3.7,1.8,3.25,3.75,1.83,3.25,4,1.75,3.6,3.65,1.67,3.5,4.5,1.73,3.5,3.75,39,1.8,1.77,3.5,3.37,4.75,4.05,27,1.83,1.71,2.1,1.99,17,-0.75,2.07,2.03,1.87,1.84
N1,26/11/06,Sparta,Ajax,3,0,H,1,0,H,8,4.5,1.3,8,4.9,1.28,6.5,4,1.4,6,3.9,1.4,7,3.75,1.4,6.75,4.2,1.4,7,4,1.36,9,4.33,1.3,8,4.5,1.28,37,9,7.41,4.6,4.2,1.41,1.36,29,1.6,1.54,2.5,2.28,18,1.5,1.98,1.91,1.96,1.89
N1,29/11/06,Vitesse,Heerenveen,1,3,A,1,0,H,2.1,3.2,3.2,2.25,3.2,2.8,2.2,3.3,2.75,2.3,3.2,2.5,,,,2.3,3.3,2.75,2.25,3.4,2.6,2.25,3.25,2.75,2.25,3.25,2.7,34,2.45,2.27,3.4,3.24,2.95,2.74,25,1.72,1.64,2.2,2.08,15,0,1.86,1.77,2.08,2.01
N1,01/12/06,Waalwijk,Sparta,2,1,H,1,1,D,2.1,3.3,2.9,2.1,3.3,2.95,2.2,3.25,2.9,2.2,3.1,2.8,2.25,3.2,2.75,2.2,3.3,2.9,2.2,3.5,2.62,2.1,3.4,2.88,2.25,3.4,2.6,42,2.25,2.18,3.5,3.28,3.3,2.89,30,1.83,1.7,2.2,2.03,19,0,1.72,1.62,2.3,2.16
N1,02/12/06,Den Haag,Nijmegen,0,2,A,0,1,A,2.37,3.25,2.6,2.3,3,2.9,2.3,3.25,2.75,,,,2.37,3.2,2.6,2.38,3.2,2.75,2.2,3.5,2.62,2.25,3.4,2.62,2.25,3.4,2.6,39,2.4,2.31,3.4,3.26,2.88,2.7,26,1.8,1.7,2.15,2.01,15,0,1.78,1.68,2.14,2.05
N1,02/12/06,Heracles,Roda JC,1,1,D,0,1,A,2.8,3.2,2.25,2.5,3.2,2.5,2.5,3.25,2.5,2.5,3.1,2.4,2.4,3.25,2.5,2.5,3.2,2.6,2.37,3.5,2.37,2.62,3,2.5,2.5,3.4,2.4,41,2.8,2.61,3.4,3.22,2.63,2.4,27,1.91,1.73,2.15,1.97,16,0,2.14,2.01,1.81,1.76
N1,02/12/06,NAC Breda,Twente,0,0,D,0,0,D,3.2,3.25,2,2.8,3.2,2.3,2.75,3.3,2.25,2.5,3.2,2.3,2.7,3.25,2.25,2.75,3.3,2.3,2.62,3.5,2.2,2.88,3.4,2.1,2.7,3.25,2.25,41,3.3,2.89,3.42,3.26,2.3,2.19,27,1.82,1.71,2.1,2,16,0,2.4,2.15,1.7,1.6
N1,02/12/06,Vitesse,PSV Eindhoven,0,1,A,0,1,A,6.5,4.75,1.33,6.75,3.75,1.4,6.5,4.25,1.4,5.4,3.8,1.45,6.5,3.6,1.44,7.5,3.6,1.44,7,3.75,1.4,7.5,4,1.36,8,4.1,1.33,40,8,6.61,4.75,4.01,1.48,1.4,28,1.62,1.54,2.45,2.24,17,1.25,2.2,2.16,1.77,1.73
N1,03/12/06,Ajax,Willem II,6,0,H,5,0,H,1.14,6,13,1.13,6,16,1.15,5.75,14,1.15,6,12,1.14,6,12,1.17,6,13,1.16,5.5,12,1.14,6,15,1.14,6,13,39,1.17,1.14,8,6.12,21,14.31,27,1.5,1.42,3,2.54,11,-2.25,2.06,2.02,1.9,1.84
N1,03/12/06,AZ Alkmaar,Excelsior,5,0,H,3,0,H,1.14,6,13,1.15,6,14,1.15,5.75,14,1.15,6,12,1.14,6,12,1.17,6,13,1.14,6,12,1.14,6,15,1.14,6,13,40,1.17,1.13,9,6.26,21,14.61,27,1.42,1.36,3.2,2.78,11,-2.25,1.78,1.76,2.18,2.13
N1,03/12/06,Feyenoord,Heerenveen,4,3,H,1,1,D,1.72,3.4,4,1.6,3.35,5.2,1.65,3.4,4.75,1.55,3.5,4.8,1.57,3.5,5,1.62,3.6,5,1.57,3.6,4.8,1.73,3.25,4.5,1.6,3.5,4.5,39,1.73,1.64,3.6,3.47,5.15,4.71,26,1.65,1.55,2.4,2.23,16,-0.75,2.05,2.02,1.9,1.85
N1,03/12/06,Utrecht,Groningen,3,0,H,2,0,H,2,3.25,3.3,2,3.3,3.25,2.05,3.25,3.2,2.1,3.2,2.9,2.1,3.2,3,2.1,3.2,3.2,2.05,3.5,2.87,2.1,3.4,2.88,2,3.4,3,40,2.1,2.05,3.5,3.29,3.35,3.13,27,1.6,1.54,2.4,2.24,17,0,1.6,1.51,2.5,2.32
N1,08/12/06,Heerenveen,Roda JC,1,0,H,0,0,D,1.75,3.5,4.33,1.8,3.35,3.85,1.8,3.4,3.75,1.85,3.2,3.5,1.91,3.25,3.4,1.91,3.4,3.5,1.8,3.4,3.6,1.83,3.4,3.75,1.75,3.4,3.8,41,1.9,1.82,3.57,3.32,4.33,3.89,27,1.73,1.64,2.25,2.1,18,-0.5,1.85,1.82,2.11,2.05
